source_x,mu_1,mu_2,td_1,td_2,I
1.5695268826587674e-05,6.456232,-4.003635,0.0,0.08180809056,0.6201194442826714
1.5992847286679198e-05,6.443316,-3.976221,0.0,0.08286901343999999,0.6171078680604831
1.6296067761628117e-05,6.430152,-3.948556,0.0,0.08395259904,0.61406884316265
1.6605037222656883e-05,6.41673,-3.9206410000000003,0.0,0.08505931392000002,0.611002956334457
1.6919864669136176e-05,6.403039,-3.8924769999999995,0.0,0.08618965056,0.6079108685735007
1.7240661167038095e-05,6.389066000000001,-3.864065,0.0,0.08734409280000001,0.6047934079879594
1.756753988811842e-05,6.374801000000001,-3.835406,0.0,0.08852319360000001,0.6016510946773083
1.7900616149841754e-05,6.360231,-3.8065010000000004,0.0,0.0897274368,0.5984847091245586
1.824000745606365e-05,6.345342,-3.7773529999999997,0.0,0.0909574272,0.5952954151249846
1.8585833538484016e-05,6.330123,-3.7479620000000002,0.0,0.0922135968,0.5920835977436774
1.8938216398886526e-05,6.314559,-3.7183300000000004,0.0,0.09349655039999999,0.5888503060942182
1.9297280352178875e-05,6.298637,-3.68846,0.0,0.09480680639999998,0.5855965346153461
1.9663152070248976e-05,6.282342,-3.658353,0.0,0.09614496959999999,0.5823231208998173
2.0035960626652806e-05,6.26566,-3.6280120000000005,0.0,0.09751164479999999,0.5790310996766503
2.041583754214938e-05,6.248577,-3.597439,0.0,0.0989073504,0.57572132023019
2.0802916831099177e-05,6.231077,-3.566637,0.0,0.10033277759999999,0.5723949487383962
2.1197335048742227e-05,6.213144000000001,-3.5356080000000003,0.0,0.1017885312,0.5690529625580866
2.1599231339372386e-05,6.194765,-3.5043559999999996,0.0,0.1032751296,0.5656963581346507
2.2008747485425448e-05,6.175922,-3.4728830000000004,0.0,0.10479335040000001,0.5623262405192294
2.2426027957497488e-05,6.156601,-3.4411940000000003,0.0,0.10634371199999999,0.5589438068180803
2.2851219965311755e-05,6.136786,-3.40929,0.0,0.10792699199999999,0.5555497617156603
2.328447350965188e-05,6.116461,-3.3771769999999997,0.0,0.10954379519999999,0.5521455953042126
2.3725941435279652e-05,6.095611,-3.344857,0.0,0.11119481279999999,0.5487320303083645
2.4175779484856227e-05,6.0742199999999995,-3.312336,0.0,0.11288064960000001,0.5453105090036252
2.4634146353885494e-05,6.0522730000000005,-3.2796160000000003,0.0,0.11460216960000001,0.5418817029568891
2.5101203746699334e-05,6.029755000000001,-3.2467040000000003,0.0,0.11636006400000001,0.5384470845001165
2.5577116433504225e-05,6.006651000000001,-3.213603,0.0,0.1181549376,0.535007444248051
2.6062052308509465e-05,5.982947,-3.180318,0.0,0.11998774079999999,0.5315637928933684
2.655618244915753e-05,5.958631,-3.1468540000000003,0.0,0.121858992,0.5281169449828326
2.705968117647738e-05,5.933687,-3.1132169999999997,0.0,0.12376964160000001,0.5246682206189844
