source_x,mu_1,mu_2,mu_3,mu_4,td_21,td_31,td_41,td_32,td_42,td_43,I_2,I_3,I_4
6.499999999999999e-06,7.155403,7.8566210000000005,-6.678791,-5.534826,0.031745589119999994,0.1473324768,0.19850045759999999,0.11558688768,0.16675486847999998,0.051167980799999985,1.0979983936614053,0.9333913128303186,0.7735170192370716
6.561306532663316e-06,7.153128999999999,7.861416,-6.685652,-5.530482,0.03204279648,0.14726871360000002,0.19891802879999998,0.11522591712000002,0.16687523231999998,0.05164931519999996,1.099017786481972,0.9346472012457766,0.7731556358063724
6.622613065326631e-06,7.150861,7.866232000000001,-6.692532000000001,-5.526146,0.03233994336,0.14720529599999999,0.1993359456,0.11486535263999999,0.16699600224,0.05213064960000002,1.100039841356167,0.935905760159511,0.7727944928589718
6.683919597989947e-06,7.148599000000001,7.871067,-6.699431,-5.521816,0.03263702112,0.1471420512,0.1997540352,0.11450503008000001,0.16711701408000001,0.052611984,1.1010642784691096,0.9371669889442671,0.7724333117580101
6.745226130653264e-06,7.146344,7.875922999999999,-6.70635,-5.517493,0.03293404704,0.14707915200000002,0.20017238399999998,0.11414510496000002,0.16723833695999998,0.05309323199999996,1.1020912231485078,0.9384308955740165,0.7720721252713275
6.806532663316581e-06,7.144096,7.8807990000000006,-6.713288,-5.513178,0.033230995199999995,0.14701642560000003,0.2005909056,0.11378543040000003,0.1673599104,0.05357447999999998,1.1031205347744488,0.9396973388935423,0.7717110744312506
6.867839195979897e-06,7.1418539999999995,7.885695,-6.7202470000000005,-5.50887,0.03352789152,0.1469539584,0.2010096,0.11342606688000001,0.16748170848000002,0.05405564160000001,1.104152367158444,0.9409667293674725,0.7713501284120342
6.929145728643214e-06,7.139618,7.890612,-6.727225,-5.504568,0.03382471008,0.1468917504,0.20142863999999996,0.11306704031999999,0.16760392991999995,0.05453688959999997,1.1051868601373351,0.942238786444877,0.7709891481589072
6.990452261306531e-06,7.137389,7.895549000000001,-6.734222999999999,-5.500274,0.03412146816,0.1468298016,0.2018477664,0.11270833344,0.16772629824,0.055017964799999985,1.1062237185054649,0.9435135173380629,0.7706283067939831
7.051758793969847e-06,7.135166000000001,7.900507000000001,-6.7412410000000005,-5.495986,0.03441816576,0.1467681984,0.2022672384,0.11235003263999999,0.16784907263999999,0.05549904,1.1072632367628168,0.9447910532144592,0.7702674331613307
7.113065326633163e-06,7.132949000000001,7.905486,-6.748278999999999,-5.4917050000000005,0.0347147856,0.146706768,0.20268679679999999,0.1119919824,0.1679720112,0.0559800288,1.1083054147730482,0.9460713934727416,0.7699066683359155
7.17437185929648e-06,7.130739,7.910486,-6.755338,-5.487432,0.03501134496,0.1466455968,0.2031067008,0.11163425184,0.16809535584000002,0.05646110400000001,1.1093500968132475,0.9473545448795699,0.7695460456482841
7.235678391959798e-06,7.128535,7.915507000000001,-6.762417,-5.4831650000000005,0.035307826560000005,0.1465846848,0.20352677760000001,0.11127685824,0.16821895104,0.05694209280000001,1.1103974379027388,0.9486404990646745,0.7691853936327732
7.296984924623114e-06,7.1263369999999995,7.920549,-6.769517,-5.478905,0.03560424768,0.146524032,0.2039470272,0.11091978431999999,0.16834277951999999,0.05742299519999999,1.111447437863239,0.9499293957049744,0.7688248534976665
7.35829145728643e-06,7.1241460000000005,7.925613,-6.776638,-5.474652,0.03590059968,0.1464636384,0.204367536,0.11056303872,0.16846693631999998,0.057903897599999976,1.1125000807114285,0.9512211007466719,0.7684643183898813
7.419597989949748e-06,7.1219600000000005,7.930698,-6.783778999999999,-5.470405,0.03619687392,0.14640350400000002,0.20478821760000002,0.11020663008000002,0.16859134368,0.0583847136,1.113555538082213,0.9525157400490875,0.7681038646664682
7.480904522613063e-06,7.119781,7.935805,-6.790941,-5.466166,0.03649307904,0.1463436288,0.2052091584,0.10985054975999999,0.16871607936,0.05886552960000002,1.114613637694755,0.9538131861078312,0.7677435584043948
7.54221105527638e-06,7.117608000000001,7.940933,-6.798125,-5.461933,0.036789215039999996,0.1462840128,0.2056303584,0.10949479776000001,0.16884114336,0.05934634559999999,1.1156743951057715,0.9551137123595453,0.7673832276236623
7.6035175879396955e-06,7.115441000000001,7.946084,-6.8053289999999995,-5.457707,0.03708528192,0.146224656,0.2060517312,0.10913937408000002,0.16896644928000001,0.059827075199999996,1.116738091145721,0.9564170372574236,0.7670230137527666
7.664824120603011e-06,7.1132800000000005,7.951256,-6.812555000000001,-5.453487,0.037381271040000004,0.146165472,0.20647327680000002,0.10878420096,0.16909200576000002,0.06030780480000003,1.1178044446443833,0.9577234412254263,0.7666627772279454
7.72613065326633e-06,7.111125,7.9564509999999995,-6.819802,-5.449275,0.037677191039999995,0.14610663359999998,0.20689508160000003,0.10842944255999998,0.16921789056000003,0.06078844800000005,1.1188737365747332,0.9590327831390955,0.7663028001898433
7.787437185929646e-06,7.108975,7.961666999999999,-6.827071000000001,-5.445069,0.037973033280000006,0.1460480544,0.2073170592,0.10807502111999998,0.16934402591999997,0.0612690048,1.1199458431067768,0.9603453381113313,0.7659429101945077
7.848743718592963e-06,7.106832000000001,7.966907000000001,-6.834361,-5.440869,0.03826879776000001,0.14598973440000002,0.20773929600000005,0.10772093664000001,0.16947049824000004,0.06174956160000003,1.121020871184235,0.9616606949481851,0.7655828926306404
7.91005025125628e-06,7.1046949999999995,7.972167999999999,-6.841674,-5.436676,0.03856449312,0.14593158720000002,0.2081617056,0.10736709408000002,0.16959721247999998,0.06223011839999998,1.1220985559549002,0.9629792693423153,0.7652229969055675
