source_x,mu_1,mu_2,mu_3,mu_4,td_21,td_31,td_41,td_32,td_42,td_43,I_2,I_3,I_4
2.309401076758503e-06,7.240989999999999,7.659203,-6.166739,-5.935298,0.0196035552,0.16029878399999997,0.17080295040000001,0.14069522879999996,0.1511993952,0.010504166400000042,1.0577563288997776,0.8516430764301567,0.819680458058912
2.581604428539798e-06,7.218382000000001,7.6861630000000005,-6.182712,-5.9236830000000005,0.021913346880000004,0.1608843168,0.17262521279999998,0.13897096992000002,0.15071186591999997,0.011740895999999973,1.0648041347770179,0.8565232485617967,0.820638614027354
2.8858917112877188e-06,7.193346000000001,7.716647,-6.200921,-5.910931,0.024495056639999995,0.1615454496,0.1746683136,0.13705039296000002,0.15017325696000003,0.013122864000000012,1.0727479256524015,0.8620356924301986,0.8217220470140042
3.226044578018413e-06,7.16565,7.751169,-6.221731,-5.896958000000001,0.027380609280000006,0.1622927232,0.1769596416,0.13491211392,0.14957903232,0.014666918400000006,1.0817119172719851,0.8682716850529959,0.8229480926363973
3.6062904157682815e-06,7.135044000000001,7.790331,-6.245578,-5.8816809999999995,0.030605618879999998,0.1631384064,0.17953030080000001,0.13253278752,0.14892468192000002,0.016391894400000023,1.091840638964525,0.8753384001556261,0.8243370328199797
4.031354883152496e-06,7.101264,7.834845,-6.272991,-5.865019,0.034209855360000006,0.1640967552,0.1824155424,0.12988689984,0.14820568703999998,0.018318787199999992,1.1033028767836262,0.8833625957294364,0.8259119784872102
4.506520640394737e-06,7.0640279999999995,7.885560000000001,-6.304616,-5.846895,0.03823765056,0.16518435839999998,0.18565493760000001,0.12694670783999998,0.14741728704,0.020470579200000033,1.1162979535188706,0.8924958961091322,0.8276998618918272
5.037693001719174e-06,7.023041,7.9434949999999995,-6.341246,-5.827239,0.04273841663999999,0.1664205696,0.1892936736,0.12368215296000001,0.14655525696,0.022873103999999977,1.131062028542906,0.9029202591868679,0.829731593479235
5.631473326026404e-06,6.977994,8.009884,-6.383869,-5.805991000000001,0.04776719904,0.16782811199999997,0.19338298560000003,0.12006091295999997,0.14561578656000002,0.025554873600000055,1.1478777425145392,0.9148573357901999,0.8320429911518985
6.295241057945427e-06,6.928567,8.08624,-6.4337290000000005,-5.7831019999999995,0.05338521216,0.1694339424,0.197980848,0.11604873024000001,0.14459563584,0.028546905599999978,1.1670869315401005,0.9285800368243535,0.834675048967557
7.0372454388601425e-06,6.87443,8.174441,-6.492408999999999,-5.758538,0.05966051328,0.17126985600000003,0.20315335680000002,0.11160934272000003,0.14349284352000002,0.03188350079999999,1.1891081878788494,0.9444287017250884,0.8376749781436423
7.866708027686013e-06,6.8152479999999995,8.276850999999999,-6.561953999999999,-5.732285,0.06666858144,0.1733734368,0.20897568000000002,0.10670485536,0.14230709856,0.03560224320000002,1.214460721018516,0.9628342211464644,0.8410970517874038
8.793937305515292e-06,6.750681,8.396497,-6.645051,-5.704349,0.07449294816,0.1757899584,0.21553344000000002,0.10129701024,0.14104049184,0.03974348160000002,1.243799995881897,0.9843526897508562,0.8450034892776003
9.830456788426273e-06,6.680394000000001,8.537331,-6.745292,-5.674755,0.08322584544000002,0.1785735936,0.2229242688,0.09534774815999998,0.13969842336,0.044350675199999995,1.2779681857088068,1.0097146964685015,0.849464118433733
1.0989148240630282e-05,6.604055000000001,8.704639,-6.867591,-5.643552,0.09296864640000001,0.18178992000000002,0.231259536,0.08882127360000001,0.13829088959999997,0.049469615999999966,1.31807487975191,1.0399051794692804,0.8545586007384856
1.2284411767795375e-05,6.521346,8.905687,-7.018836,-5.610803,0.1038321504,0.185518512,0.24066633600000004,0.0816863616,0.13683418560000005,0.05514782400000004,1.3656209929667893,1.0762863985441042,0.8603749900710681
1.3732344780171445e-05,6.431967,9.150803999999999,-7.208994000000001,-5.57658,0.1159366176,0.1898570016,0.2512898208,0.07392038399999999,0.1353532032,0.061432819200000016,1.4227069262015801,1.120807056379487,0.8670100452940757
1.535094204965295e-05,6.335641000000001,9.455291,-7.453034,-5.540945,0.1294109568,0.194926176,0.2632959648,0.0655152192,0.133885008,0.0683697888,1.4923969019077943,1.1763662114062332,0.874567387893348
1.7160319347069407e-05,6.232126999999999,9.843003999999999,-7.774556,-5.503928,0.144391248,0.20087680319999998,0.2768742432,0.05648555519999998,0.13248299519999998,0.07599744,1.5793972106152523,1.2474964005066007,0.8831540178818565
1.918296343904588e-05,6.121222,10.35368,-8.213157,-5.46548,0.1610162496,0.20789974079999998,0.29224117439999997,0.04688349119999999,0.13122492479999998,0.08434143359999999,1.691440042527456,1.3417512058866679,0.8928740045696758
2.144401155137096e-05,6.002778,11.05964,-8.841202000000001,-5.425424,0.1794206592,0.21624122880000002,0.30964377600000004,0.03682056960000002,0.13022311680000004,0.09340254720000002,1.8424202927377957,1.472851736312754,0.9038188651987462
2.397156377201556e-05,5.876705,12.11018,-9.808314,-5.383362,0.1997194752,0.2262264768,0.3293639712,0.026507001599999996,0.129644496,0.1031374944,2.0607091899287098,1.6690158856025612,0.9160510864506556
2.6797032276317247e-05,5.7429879999999995,13.881029999999999,-11.49098,-5.338565,0.2219750784,0.2383035552,0.3517224768,0.01632847679999999,0.12974739840000002,0.11341892160000003,2.4170397012844185,2.000871323429546,0.9295796891792217
2.9955531714467408e-05,5.601699,17.74793,-15.26624,-5.2898190000000005,0.2461144608,0.2531393856,0.3770840736,0.007024924799999999,0.13096961280000002,0.12394468800000003,3.1683119710644934,2.7252874529673945,0.9443240345473758
3.3486315612998326e-05,5.453009,43.36156,-40.78688,-5.23524,0.27158276160000006,0.2719809792,0.4058620128,0.0003982175999999171,0.13427925119999995,0.13388103360000003,7.951859239550127,7.4797015739383514,0.9600644341500262
