radius,images_num
0.0,4.0
1.2765533590122378e-06,4.0
2.5531067180244756e-06,4.0
3.829660077036714e-06,4.0
5.106213436048951e-06,4.0
6.382766795061189e-06,4.0
7.659320154073427e-06,4.0
8.935873513085664e-06,4.0
1.0212426872097903e-05,4.0
1.1488980231110141e-05,4.0
1.2765533590122378e-05,4.0
1.4042086949134616e-05,4.0
1.5318640308146855e-05,4.0
1.659519366715909e-05,4.0
1.7871747026171328e-05,4.0
1.9148300385183568e-05,4.0
2.0424853744195805e-05,4.0
2.1701407103208045e-05,4.0
2.2977960462220282e-05,4.0
2.4254513821232515e-05,4.0
2.5531067180244755e-05,4.0
2.6807620539256992e-05,4.0
2.8084173898269232e-05,4.0
2.9360727257281472e-05,4.0
3.063728061629371e-05,4.0
3.1913833975305946e-05,4.0
3.319038733431818e-05,4.0
3.446694069333042e-05,4.0
3.5743494052342656e-05,4.0
3.70200474113549e-05,4.0
3.8296600770367137e-05,4.0
3.957315412937937e-05,4.0
4.084970748839161e-05,4.0
4.2126260847403854e-05,4.0
4.340281420641609e-05,4.0
4.467936756542833e-05,4.0
4.5955920924440564e-05,4.0
4.72324742834528e-05,4.0
4.850902764246503e-05,4.0
4.9785581001477274e-05,4.0
5.106213436048951e-05,4.0
5.233868771950175e-05,4.0
5.3615241078513984e-05,4.0
5.489179443752623e-05,4.0
5.6168347796538465e-05,2.0
5.744490115555071e-05,2.0
5.8721454514562945e-05,2.0
5.999800787357518e-05,2.0
6.127456123258742e-05,2.0
6.255111459159966e-05,2.0
6.382766795061189e-05,2.0
6.510422130962413e-05,2.0
6.638077466863637e-05,2.0
6.76573280276486e-05,2.0
6.893388138666084e-05,2.0
7.021043474567309e-05,2.0
7.148698810468531e-05,2.0
7.276354146369756e-05,2.0
7.40400948227098e-05,2.0
7.531664818172204e-05,2.0
7.659320154073427e-05,2.0
7.786975489974651e-05,2.0
7.914630825875875e-05,2.0
8.042286161777098e-05,2.0
8.169941497678322e-05,2.0
8.297596833579546e-05,2.0
8.425252169480771e-05,2.0
8.552907505381993e-05,2.0
8.680562841283218e-05,2.0
8.80821817718444e-05,2.0
8.935873513085665e-05,2.0
9.063528848986888e-05,2.0
9.191184184888113e-05,2.0
9.318839520789336e-05,2.0
9.44649485669056e-05,2.0
9.574150192591785e-05,2.0
9.701805528493006e-05,2.0
9.829460864394231e-05,2.0
9.957116200295455e-05,2.0
0.00010084771536196678,2.0
0.00010212426872097902,2.0
0.00010340082207999127,2.0
0.0001046773754390035,2.0
0.00010595392879801575,2.0
0.00010723048215702797,2.0
0.00010850703551604022,2.0
0.00010978358887505246,2.0
0.00011106014223406469,2.0
0.00011233669559307693,2.0
0.00011361324895208917,2.0
0.00011488980231110142,2.0
0.00011616635567011364,2.0
0.00011744290902912589,2.0
0.00011871946238813813,2.0
0.00011999601574715036,2.0
0.0001212725691061626,2.0
0.00012254912246517484,2.0
0.00012382567582418707,2.0
0.0001251022291831993,2.0
0.00012637878254221155,2.0
0.00012765533590122378,2.0
0.00012893188926023602,2.0
0.00013020844261924826,2.0
0.0001314849959782605,2.0
0.00013276154933727273,2.0
0.00013403810269628497,2.0
0.0001353146560552972,2.0
0.00013659120941430944,2.0
0.00013786776277332168,2.0
0.00013914431613233391,2.0
0.00014042086949134618,2.0
0.0001416974228503584,2.0
0.00014297397620937063,2.0
0.0001442505295683829,2.0
0.00014552708292739513,2.0
0.00014680363628640736,2.0
0.0001480801896454196,2.0
0.00014935674300443184,2.0
0.00015063329636344407,2.0
0.0001519098497224563,2.0
0.00015318640308146855,2.0
0.00015446295644048076,2.0
0.00015573950979949302,2.0
0.00015701606315850526,2.0
0.0001582926165175175,2.0
0.00015956916987652973,2.0
0.00016084572323554197,2.0
0.00016212227659455423,2.0
0.00016339882995356644,2.0
0.00016467538331257868,2.0
0.00016595193667159091,2.0
0.00016722849003060318,2.0
0.00016850504338961541,2.0
0.00016978159674862762,2.0
0.00017105815010763986,2.0
0.00017233470346665212,2.0
0.00017361125682566436,2.0
0.0001748878101846766,2.0
0.0001761643635436888,2.0
0.00017744091690270104,2.0
0.0001787174702617133,2.0
0.00017999402362072555,2.0
0.00018127057697973775,2.0
0.00018254713033875,2.0
0.00018382368369776226,2.0
0.0001851002370567745,2.0
0.00018637679041578673,2.0
0.00018765334377479894,2.0
0.0001889298971338112,2.0
0.00019020645049282347,2.0
0.0001914830038518357,2.0
0.0001927595572108479,1.0
0.00019403611056986012,1.0
0.00019531266392887239,1.0
0.00019658921728788462,1.0
0.00019786577064689686,1.0
0.0001991423240059091,1.0
0.00020041887736492136,1.0
0.00020169543072393357,1.0
0.0002029719840829458,1.0
0.00020424853744195804,1.0
0.00020552509080097028,1.0
0.00020680164415998254,1.0
0.00020807819751899478,1.0
0.000209354750878007,1.0
0.00021063130423701923,1.0
0.0002119078575960315,1.0
0.00021318441095504373,1.0
0.00021446096431405594,1.0
0.00021573751767306817,1.0
0.00021701407103208044,1.0
0.00021829062439109267,1.0
0.0002195671777501049,1.0
0.00022084373110911712,1.0
0.00022212028446812939,1.0
0.00022339683782714165,1.0
0.00022467339118615386,1.0
0.0002259499445451661,1.0
0.00022722649790417833,1.0
0.00022850305126319057,1.0
0.00022977960462220283,1.0
0.00023105615798121504,1.0
0.00023233271134022728,1.0
0.00023360926469923952,1.0
0.00023488581805825178,1.0
0.00023616237141726402,1.0
0.00023743892477627625,1.0
0.00023871547813528846,1.0
0.00023999203149430073,1.0
0.00024126858485331296,1.0
0.0002425451382123252,1.0
0.00024382169157133744,1.0
0.0002450982449303497,1.0
0.0002463747982893619,1.0
0.00024765135164837415,1.0
0.0002489279050073864,1.0
0.0002502044583663986,1.0
0.00025148101172541086,1.0
0.0002527575650844231,1.0
0.00025403411844343533,1.0
