source_y,mu_1,mu_2,td_1,td_2,I
2.262741699796952e-05,5.617525,-4.281147,0.0,0.1470736224,0.7621055536023427
4.651191271804846e-05,4.493214,-3.0274419999999997,0.0,0.2643106464,0.6737809505623368
7.03964084381274e-05,3.7337629999999997,-2.106493,0.0,0.38663101440000003,0.5641742660152774
9.428090415820633e-05,3.215272,-1.472934,0.0,0.51103656,0.45810556618538023
0.00011816539987828527,2.849936,-1.0335219999999998,0.0,0.6364445183999999,0.36264744190746734
0.00014204989559836418,2.5826759999999997,-0.7182893,0.0,0.7623987840000002,0.2781182386021321
0.0001659343913184431,2.380291,-0.4838223,0.0,0.88868016,0.20326182807060142
0.00018981888703852208,2.2224310000000003,-0.3037276,0.0,1.0151714879999998,0.1366645803626749
0.00021370338275860106,2.096206,-0.1615717,0.0,1.141804512,0.07707815930304561
0.00023758787847867998,1.993153,-0.04676517,0.0,1.268539488,0.023462910273320713
