theta,mu_1,mu_2,mu_3,mu_4,td_1,td_2,td_3,td_4
0.0,6.5479949999999985,8.67782,0.0,0.0,0.0,0.0974884032,0.0,0.0
0.06544984694978735,6.549953,8.675949000000001,0.0,0.0,0.0,0.0972749088,0.0,0.0
0.1308996938995747,6.555827000000002,8.670319000000001,0.0,0.0,0.0,0.09663546239999997,0.0,0.0
0.19634954084936207,6.565611,8.660879,0.0,0.0,0.0,0.0955733472,0.0,0.0
0.2617993877991494,6.579298,8.647553,0.0,0.0,0.0,0.0940940064,0.0,0.0
0.32724923474893675,6.596878,8.630241,0.0,0.0,0.0,0.0922050432,0.0,0.0
0.39269908169872414,6.618333,8.608835000000001,0.0,0.0,0.0,0.08991604800000001,0.0,0.0
0.4581489286485115,6.643642,8.583225,0.0,0.0,0.0,0.08723851199999999,0.0,0.0
0.5235987755982988,6.6727789999999985,8.553315,0.0,0.0,0.0,0.08418561983999999,0.0,0.0
0.5890486225480862,6.705707,8.519034,0.0,0.0,0.0,0.08077238784,0.0,0.0
0.6544984694978735,6.742382000000001,8.480349,-6.866209,-5.558604,0.0,0.07701527520000001,0.1703515968,0.2250419328
0.7199483164476609,6.7827470000000005,8.437272,-6.9151110000000005,-5.506858,0.0,0.07293214944,0.16599695039999998,0.2252762496
0.7853981633974483,6.826735,8.389872,-6.959928999999999,-5.458491,0.0,0.06854209632,0.1616102496,0.225232272
0.8508480103472356,6.874261,8.338277,-7.000581,-5.413635,0.0,0.06386531615999999,0.1572117984,0.22491051840000004
0.916297857297023,6.925224000000001,8.282677,-7.037048,-5.3723980000000005,0.0,0.058922976960000005,0.1528219872,0.224312544
0.9817477042468102,6.979502,8.223326,-7.069372,-5.334872,0.0,0.0537370416,0.14846112,0.2234409408
1.0471975511965976,0.0,0.0,-7.097648,-5.301133,0.0,0.0,0.1441495008,0.222299424
1.112647398146385,0.0,0.0,-7.1220089999999985,-5.271243,0.0,0.0,0.139907088,0.2208924864
1.1780972450961724,0.0,0.0,-7.142619,-5.245252,0.0,0.0,0.1357533216,0.2192255712
1.2435470920459597,0.0,0.0,-7.159654,-5.223201,0.0,0.0,0.1317070368,0.21730550399999998
1.3089969389957472,0.0,0.0,-7.173294,-5.20512,0.0,0.0,0.1277865504,0.2151395424
1.3744467859455345,0.0,0.0,-7.183705000000002,-5.191033999999998,0.0,0.0,0.1240092288,0.21273624
1.4398966328953218,0.0,0.0,-7.1910300000000005,-5.180961,0.0,0.0,0.12039140160000003,0.210104928
1.505346479845109,0.0,0.0,-7.195378999999999,-5.174913,0.0,0.0,0.1169485344,0.2072561472
1.5707963267948966,0.0,0.0,-7.196821000000001,-5.172896,0.0,0.0,0.113695056,0.2042009568
