theta,caustic_in,caustic_out
0.0,6.020066889632107e-05,0.0004565217391304348
1.5517241379310345,5.3531336364149485e-05,0.0004533435048338909
3.103448275862069,5.024090669813803e-05,0.0004504934633933043
4.655172413793103,4.8655488511044666e-05,0.00044964382486068866
6.206896551724138,4.5416736527675194e-05,0.00044743895986524456
7.758620689655173,4.3879955686019116e-05,0.0004472380098767333
9.310344827586206,4.236410261777334e-05,0.0004490594877483974
10.862068965517242,4.0865946527238135e-05,0.0004478226640276512
12.413793103448276,3.938227414594365e-05,0.00044861547070596674
13.96551724137931,3.963304578620663e-05,0.0004497489108782578
15.517241379310345,3.8180995220265055e-05,0.00044949444372948397
17.06896551724138,3.673516203232225e-05,0.0004495684115384199
18.620689655172413,3.7056866292502704e-05,0.00044821162087122326
20.17241379310345,3.563041550073273e-05,0.0004489432353092323
21.724137931034484,3.6001780604477944e-05,0.00044822216852575045
23.275862068965516,3.4587554719387015e-05,0.0004496382113520311
24.82758620689655,3.5008192776260207e-05,0.0004477363602437489
26.379310344827587,3.359891333466386e-05,0.00044611890483248114
27.93103448275862,3.406895767565224e-05,0.0004447891696543487
29.482758620689655,3.265705729026854e-05,0.0004437517784736491
31.03448275862069,3.317716701940162e-05,0.0004410611615520451
32.58620689655172,3.1754595404533275e-05,0.00044059501123789923
34.13793103448276,3.2325973768395704e-05,0.00043842101923386676
35.689655172413794,3.294289510667778e-05,0.000438552291107648
37.241379310344826,3.150839156964655e-05,0.0004390169225370752
38.793103448275865,3.218268074180339e-05,0.0004398299701379797
40.3448275862069,3.291112680220366e-05,0.000441009099149529
41.89655172413793,3.145202738980597e-05,0.00043808181007229743
43.44827586206897,3.2247268058707194e-05,0.00043533811879254715
45.0,3.074377309506728e-05,0.0004304128233309419
