source_x,mu_1,mu_2,td_1,td_2,I
3.7e-05,4.119077,-97.84251,0.0,0.2040303168,23.753503515472037
6.044444444444444e-05,3.350801,-7.703502,0.0,0.33331080960000004,2.2990031338775414
8.388888888888888e-05,2.886201,-3.55217,0.0,0.4625913024,1.2307424188405451
0.00010733333333333333,2.574939,-2.0820950000000003,0.0,0.5918717952,0.8085997377025242
0.00013077777777777778,2.351855,-1.329732,0.0,0.7211522879999999,0.5653971014369508
0.00015422222222222223,2.184128,-0.8726135,0.0,0.8504327808000001,0.39952489048260914
0.00017766666666666666,2.053427,-0.5654543000000001,0.0,0.979712928,0.27537102609442654
0.00020111111111111108,1.948711,-0.34486079999999997,0.0,1.108993248,0.17696867313829498
0.00022455555555555561,1.8629310000000001,-0.178758,0.0,1.2382744319999999,0.09595524471920859
0.000248,1.791377,-0.04917511,0.0,1.367553888,0.027451011149523523
