souce_x,mu_1,mu_2,mu_3,mu_4,td_1,td_2,td_3,td_4
6.350852961085883e-06,6.924469,8.092744,0.0,0.0,0.0,0.053855720639999986,0.0,0.0
6.472154835824712e-06,6.915553999999998,8.10699,0.0,0.0,0.0,0.05488190208,0.0,0.0
6.593456710563544e-06,6.90667,8.121317,0.0,0.0,0.0,0.05590794528,0.0,0.0
6.7147585853023735e-06,6.897817,8.135726,0.0,0.0,0.0,0.0569338416,0.0,0.0
6.8360604600412046e-06,6.888995,8.150219,0.0,0.0,0.0,0.057959591039999994,0.0,0.0
6.957362334780037e-06,6.880203,8.164795,0.0,0.0,0.0,0.058985193600000006,0.0,0.0
7.078664209518864e-06,6.871442,8.179457000000001,0.0,0.0,0.0,0.060010640639999994,0.0,0.0
7.199966084257695e-06,6.862711,8.194205,0.0,0.0,0.0,0.06103592352000001,0.0,0.0
7.3212679589965255e-06,6.854009,8.20904,0.0,0.0,0.0,0.06206105952,0.0,0.0
7.442569833735356e-06,6.845338000000001,8.223963000000001,0.0,0.0,0.0,0.06308603136,0.0,0.0
7.5638717084741885e-06,6.836696000000001,8.238976,0.0,0.0,0.0,0.0641108304,0.0,0.0
7.685173583213018e-06,6.828083,8.254078,0.0,0.0,0.0,0.06513547392,0.0,0.0
7.806475457951848e-06,6.819499,8.269272,0.0,0.0,0.0,0.06615994464,0.0,0.0
7.927777332690677e-06,6.810944,8.284559,0.0,0.0,0.0,0.06718423392,0.0,0.0
8.049079207429509e-06,6.8024179999999985,8.299938000000001,0.0,0.0,0.0,0.06820835039999999,0.0,0.0
8.170381082168339e-06,6.793921000000001,8.315413000000001,0.0,0.0,0.0,0.06923229407999999,0.0,0.0
8.29168295690717e-06,6.785450999999999,8.330983,0.0,0.0,0.0,0.07025604767999999,0.0,0.0
8.412984831646001e-06,6.7770100000000015,8.34665,0.0,0.0,0.0,0.07127962848,0.0,0.0
8.534286706384831e-06,6.768597,8.362414999999999,0.0,0.0,0.0,0.07230301056,0.0,0.0
8.655588581123661e-06,6.760211999999999,8.37828,0.0,0.0,0.0,0.07332620256,0.0,0.0
8.776890455862492e-06,6.751854,8.394245,0.0,0.0,0.0,0.07434920448,0.0,0.0
8.898192330601324e-06,6.743523,8.410312,0.0,0.0,0.0,0.07537200767999999,0.0,0.0
9.019494205340154e-06,6.73522,8.426480999999999,0.0,0.0,0.0,0.07639461216,0.0,0.0
9.140796080078984e-06,6.7269440000000005,8.442756,0.0,0.0,0.0,0.07741700927999999,0.0,0.0
9.262097954817813e-06,6.718694,8.459136,0.0,0.0,0.0,0.07843919903999999,0.0,0.0
9.383399829556643e-06,6.710471000000001,8.475622,0.0,0.0,0.0,0.07946119008,0.0,0.0
9.504701704295477e-06,6.702275,8.492218,0.0,0.0,0.0,0.08048295647999999,0.0,0.0
9.626003579034303e-06,6.694105,8.508922,0.0,0.0,0.0,0.08150451552,0.0,0.0
9.747305453773137e-06,6.685961,8.525739,0.0,0.0,0.0,0.08252585856000001,0.0,0.0
9.868607328511966e-06,6.677844,8.542667,0.0,0.0,0.0,0.08354697695999999,0.0,0.0
9.989909203250796e-06,6.669752000000001,8.55971,0.0,0.0,0.0,0.08456787072000001,0.0,0.0
1.0111211077989628e-05,6.661685,8.576868,0.0,0.0,0.0,0.08558853120000001,0.0,0.0
1.0232512952728458e-05,6.653645,8.594142999999999,0.0,0.0,0.0,0.0866090016,0.0,0.0
1.0353814827467288e-05,6.645629,8.611537,0.0,0.0,0.0,0.08762912640000001,0.0,0.0
1.0475116702206115e-05,6.637639,8.629050999999999,0.0,0.0,0.0,0.0886491648,0.0,0.0
1.0596418576944949e-05,6.6296740000000005,8.646686,0.0,0.0,0.0,0.0896688576,0.0,0.0
1.071772045168378e-05,6.621733,8.664446,0.0,0.0,0.0,0.0906882912,0.0,0.0
1.0839022326422607e-05,6.613817999999998,8.68233,0.0,0.0,0.0,0.09170755199999997,0.0,0.0
