source_x,mu_1,mu_2,mu_3,mu_4,td_1,td_2,td_3,td_4
4e-06,-5.71839,7.676724,-6.414236,7.25417,2.102573e-06,2.266179e-07,1.737846e-06,0.0
4.373063462171668e-06,-5.690163,7.701755,-6.451949,7.238642,2.131373e-06,2.476874e-07,1.732666e-06,0.0
4.780921011045214e-06,-5.659652,7.729811,-6.493853,7.221997,2.162973e-06,2.707017e-07,1.727129e-06,0.0
5.226817747232663e-06,-5.626698,7.76134,-6.540498,7.204184,2.197657e-06,2.958358e-07,1.721226e-06,0.0
5.714301428463398e-06,-5.591141,7.796876,-6.59253,7.185151,2.235736e-06,3.232792e-07,1.714953e-06,0.0
6.247250697162164e-06,-5.552811,7.837058,-6.650709,7.164851,2.277557e-06,3.532365e-07,1.708309e-06,0.0
6.829905940696584e-06,-5.511535,7.882663,-6.715939,7.14324,2.323501e-06,3.859282e-07,1.701303e-06,0.0
7.466903029832347e-06,-5.467133,7.934637,-6.789304,7.120278,2.373993e-06,4.215907e-07,1.69395e-06,0.0
8.16331020383469e-06,-5.419425,7.994147,-6.872116,7.095929,2.429504e-06,4.604769e-07,1.686277e-06,0.0
8.924668395690659e-06,-5.368223,8.06265,-6.965985,7.070162,2.490554e-06,5.028555e-07,1.678328e-06,0.0
9.757035318298264e-06,-5.31334,8.141986,-7.07291,7.04295,2.557723e-06,5.490103e-07,1.670161e-06,0.0
1.0667033662392164e-05,-5.254586,8.234509,-7.195411,7.014272,2.631653e-06,5.992384e-07,1.661861e-06,0.0
1.1661903789690601e-05,-5.191771,8.343287,-7.336722,6.984108,2.713059e-06,6.538466e-07,1.65354e-06,0.0
1.2749561340514318e-05,-5.124706,8.472381,-7.501073,6.952441,2.802733e-06,7.131473e-07,1.645349e-06,0.0
1.39386602142299e-05,-5.053204,8.627292,-7.694128,6.91925,2.901556e-06,7.774502e-07,1.637485e-06,0.0
1.5238661423618674e-05,-4.977081,8.815659,-7.923676,6.884509,3.010505e-06,8.470518e-07,1.630206e-06,0.0
1.665990837100793e-05,-4.896159,9.048417,6.848177,-8.200782,3.130668e-06,9.22219e-07,0.0,1.623848e-06
1.8213709145095673e-05,-4.810267,9.341806,6.810193,-8.54179,3.263251e-06,1.003165e-06,0.0,1.618847e-06
1.9912426493259923e-05,-4.719244,6.770462,9.721111,-8.972041,3.409593e-06,0.0,1.090012e-06,1.615778e-06
2.1769576185213525e-05,-4.622938,6.72884,10.22815,-9.533348,3.571178e-06,0.0,1.182741e-06,1.615399e-06
2.3799934550629934e-05,-4.521214,6.685121,10.93798,-10.30069,3.749652e-06,0.0,1.281102e-06,1.61873e-06
2.6019656046359215e-05,-4.413958,6.639011,12.00208,-11.42533,3.946836e-06,0.0,1.38447e-06,1.627184e-06
2.8446401788651898e-05,-4.301077,-13.27389,6.590109,13.78738,4.164743e-06,1.642815e-06,0.0,1.491582e-06
3.10994800730521e-05,-4.182508,-17.08937,6.537873,17.53739,4.405596e-06,1.668888e-06,0.0,1.599933e-06
3.4000000000000007e-05,-4.058227,6.481602,34.68766,-34.30662,4.671844e-06,0.0,1.703671e-06,1.711947e-06
