source_x,mu_1,mu_2,mu_3,mu_4,td_1,td_2,td_3,td_4,I_2,I_3,I_4
1e-06,7.3387720000000005,7.5474440000000005,-6.044022,7.5474440000000005,0.0,0.00980326368,0.1604921472,0.1604921472,1.0284341849017793,0.8235740257361858,1.0284341849017793
1.606060606060606e-06,7.278139,7.613417999999999,-6.0467,7.613417999999999,0.0,0.0157446288,0.1635221952,0.1635221952,1.0460665837791774,0.8308030390735873,1.0460665837791774
2.212121212121212e-06,7.218655,7.680735,-6.050629,7.680735,0.0,0.02168600256,0.1665798048,0.1665798048,1.064011924659095,0.8381934030646984,1.064011924659095
2.818181818181818e-06,7.160288,7.749436,-6.055812,7.749436,0.0,0.02762737632,0.16966497600000002,0.16966497600000002,1.0822799306396613,0.8457497798971214,1.0822799306396613
3.4242424242424237e-06,7.103006,7.819566,-6.062255,7.819566,0.0,0.033568741439999994,0.17277779519999997,0.17277779519999997,1.100881232537323,0.8534773868978853,1.100881232537323
4.0303030303030315e-06,7.046778999999999,7.891167,-6.069967,7.891167,0.0,0.0395101152,0.175918176,0.175918176,1.119826093595386,0.8613817745667915,1.119826093595386
4.636363636363636e-06,6.991579,7.964288000000001,-6.0789550000000006,7.964288000000001,0.0,0.04545148896,0.1790862048,0.1790862048,1.1391257969051056,0.8694681129970785,1.1391257969051056
5.242424242424242e-06,6.937378,8.038978,-6.089230000000001,8.038978,0.0,0.051392854079999994,0.1822817952,0.1822817952,1.1587919816391727,0.8777422824588772,1.1587919816391727
5.8484848484848485e-06,6.884148,8.115287,-6.1008059999999995,8.115287,0.0,0.05733422784,0.1855050336,0.1855050336,1.1788368001385212,0.8862107554921829,1.1788368001385212
6.454545454545455e-06,6.831865,8.193269,-6.113694000000001,8.193269,0.0,0.06327560160000001,0.18875592,0.18875592,1.1992726729816823,0.8948792167292534,1.1992726729816823
7.060606060606061e-06,6.780502,8.272978,-6.127911,8.272978,0.0,0.06921696672000001,0.1920344544,0.1920344544,1.2201129060945635,0.9037547662400217,1.2201129060945635
7.666666666666667e-06,6.730036,8.354475,-6.143473,8.354475,0.0,0.07515834047999999,0.1953406368,0.1953406368,1.2413715171805917,0.9128440026175194,1.2413715171805917
8.272727272727274e-06,6.6804440000000005,8.437818,-6.1604,8.437818,0.0,0.08109971424,0.1986744672,0.1986744672,1.2630624551302279,0.9221542759732736,1.2630624551302279
8.87878787878788e-06,6.631703,8.523072,-6.178711,8.523072,0.0,0.087041088,0.2020359456,0.2020359456,1.2852011014365392,0.9316929603150201,1.2852011014365392
9.484848484848483e-06,6.583791000000001,8.610303,-6.198429,8.610303,0.0,0.0929824704,0.20542507200000001,0.20542507200000001,1.3078032094275167,0.9414680690805646,1.3078032094275167
1.0090909090909093e-05,6.536688,8.699581,-6.219579,8.699581,0.0,0.0989238528,0.20884193280000002,0.20884193280000002,1.3308851516241864,0.951487817683818,1.3308851516241864
1.0696969696969698e-05,6.490372,8.790977999999999,-6.242186,8.790977999999999,0.0,0.1048652352,0.212286528,0.212286528,1.354464428233081,0.9617608975263668,1.354464428233081
1.1303030303030305e-05,6.444825,8.884571000000001,-6.26628,8.884571000000001,0.0,0.1108065312,0.21575877119999998,0.21575877119999998,1.3785589213050784,0.9722963773259942,1.3785589213050784
1.1909090909090911e-05,6.400028,8.98044,-6.29189,8.98044,0.0,0.11674791359999999,0.2192588352,0.2192588352,1.4031876110542016,0.9831035114221376,1.4031876110542016
1.2515151515151516e-05,6.355962,9.078669,-6.31905,9.078669,0.0,0.12268929599999999,0.2227865472,0.2227865472,1.4283705597988157,0.9941925392253761,1.4283705597988157
1.3121212121212124e-05,6.312608999999999,9.179346,-6.347794,9.179346,0.0,0.1286306784,0.22634208,0.22634208,1.454128712866582,1.005573765142115,1.454128712866582
1.3727272727272727e-05,6.269952,9.282565,-6.378161,9.282565,0.0,0.1345720608,0.22992543359999998,0.22992543359999998,1.4804842206128532,1.0172583458374165,1.4804842206128532
1.4333333333333334e-05,6.227975,9.388422,-6.410191,9.388422,0.0,0.1405134432,0.2335365216,0.2335365216,1.5074598083646773,1.029257664007964,1.5074598083646773
1.4939393939393939e-05,6.186661,9.497019,-6.443928,9.497019,0.0,0.1464548256,0.23717543039999997,0.23717543039999997,1.5350799082089677,1.041584143692373,1.5350799082089677
1.5545454545454547e-05,6.145995,9.608466,-6.4794160000000005,9.608466,0.0,0.1523961216,0.2408422464,0.2408422464,1.563370292361123,1.0542501254882246,1.563370292361123
1.6151515151515153e-05,6.105962,9.722874000000001,-6.516706,9.722874000000001,0.0,0.158337504,0.2445368832,0.2445368832,1.5923574368789064,1.0672693344635948,1.5923574368789064
