source_x,mu_1,mu_2,td_1,td_2,I
4.327000000000001e-05,3.5000139999999997,-10.1723,0.0,0.18852756480000002,2.9063598031322164
4.404633342439509e-05,3.472867,-9.649811999999999,0.0,0.1919100384,2.7786298755466303
4.483659551959749e-05,3.4458309999999996,-9.165865,0.0,0.1953532512,2.659986807246206
4.564103618837377e-05,3.418911,-8.716412,0.0,0.19885815359999998,2.5494702845438213
4.645990981714798e-05,3.3921089999999996,-8.297955,0.0,0.2024260416,2.446252464174943
4.7293475356446164e-05,3.3654300000000004,-7.907456,0.0,0.2060578656,2.3496123823701573
4.814199640278344e-05,3.3388769999999997,-7.542257000000001,0.0,0.20975483520000002,2.2589202896662566
4.900574128202061e-05,3.3124519999999995,-7.20003,0.0,0.2135182464,2.173625459327411
4.98849831342159e-05,3.2861599999999997,-6.878724000000001,0.0,0.2173490496,2.0932407429948636
5.077999999999996e-05,3.2600029999999998,-6.576522,0.0,0.2212486272,2.0173361803654783
