theta,caustic_in,caustic_out
45.0,3.074377309506728e-05,0.0004304128233309419
46.55172413793103,3.161138220324832e-05,0.0004328327717060155
48.10344827586207,3.255395168401312e-05,0.00043071382228078897
49.6551724137931,3.09967790542082e-05,0.0004313718418377308
51.206896551724135,3.2029639809995546e-05,0.00042973100078410687
52.758620689655174,3.315886422173818e-05,0.0004310652348825964
54.310344827586206,3.153037324682119e-05,0.00042995963518392525
55.86206896551724,3.2778105492422974e-05,0.00042909519917353704
57.41379310344828,3.415474024135999e-05,0.0004284867412097889
58.96551724137931,3.243581207659165e-05,0.00042815271941100977
60.51724137931035,3.397747195278286e-05,0.00042811614660506406
62.06896551724138,3.213043556942677e-05,0.000421265710799151
63.62068965517241,3.387299278604307e-05,0.0004252942427580963
65.17241379310344,3.584319566322488e-05,0.0004221531933668708
66.72413793103448,3.38545801671543e-05,0.0004231822520894288
68.27586206896552,3.6143062336059724e-05,0.0004201630996566943
69.82758620689656,3.394464585968757e-05,0.00042188345568468835
71.37931034482759,3.666028663797519e-05,0.00041897470443400214
72.93103448275862,3.988001840861545e-05,0.00041589162054698976
74.48275862068965,3.750423178050576e-05,0.00041879725488231425
76.0344827586207,4.1574262383827155e-05,0.0004157426238382716
77.58620689655172,3.8894668518937816e-05,0.00041228348630074083
79.13793103448276,4.436938970572105e-05,0.0004081983852926337
80.6896551724138,4.1345535060946977e-05,0.00041345535060946975
82.24137931034483,3.716090291278509e-05,0.000408769932040636
83.79310344827587,4.639999956673546e-05,0.00040213332957837397
85.34482758620689,4.120914397824967e-05,0.00041209143978249667
86.89655172413794,5.5551891893930296e-05,0.0004189538513667243
88.44827586206897,6.015914693733761e-05,0.00042111402856136323
90.0,7.023411371237458e-05,0.0004230769230769231
