ellip,mu_1,mu_2,mu_3,mu_4,td_21,td_31,td_41,td_32,td_42,td_43
0.08,15.56286,28.86852,-27.409840000000003,-14.221789999999999,0.055553541119999994,0.06662780064,0.12063936959999998,0.011074259520000004,0.06508582847999998,0.05401156895999998
0.16000000000000006,8.48038,10.665560000000001,-9.232942,-7.11411,0.05772870432,0.1269074304,0.1813697568,0.06917872608,0.12364105248000001,0.05446232640000001
0.24000000000000005,5.8246839999999995,6.678311999999999,-5.257871,-4.447867,0.058702069440000004,0.1951164288,0.24868771199999998,0.13641435936,0.18998564255999997,0.053571283199999986
0.3200000000000001,4.4278379999999995,4.861093,-3.4479629999999997,-3.046363,0.059487359039999986,0.2693054304,0.3216297024,0.20981807136,0.26214234336000003,0.052324272000000005
0.4000000000000001,3.563478,3.8142139999999998,-2.406733,-2.180367,0.06016915008,0.3490528896,0.39983656319999994,0.28888373952,0.33966741311999993,0.05078367359999991
0.4800000000000001,2.973825,3.1306220000000002,-1.728507,-1.591222,0.0607297392,0.4337533152,0.48266254080000004,0.37302357599999997,0.4219328016,0.04890922560000005
0.56,2.543887,2.646866,-1.250717,-1.163813,0.0611054064,0.5220195552,0.568635552,0.4609141488,0.5075301456000001,0.04661599680000006
0.64,2.214234,2.284014,-0.8952996999999999,-0.8390728000000001,0.06117488064,0.6107934816,0.6545624256000001,0.54961860096,0.5933875449600001,0.04376894400000009
0.7200000000000001,1.950479,1.998637,-0.6200399999999999,-0.5835560000000001,0.060708614400000006,0.6934569408,0.7336080576,0.6327483264,0.6728994432000001,0.04015111680000005
0.8,1.7302009999999999,1.763671,-0.4000738,-0.3769071,0.05922625823999999,0.7550895167999999,0.7904691072000001,0.69586325856,0.7312428489600001,0.03537959040000016
