source_x,mu_1,mu_2,td_1,td_2,I
3.3941125496954285e-05,4.633928,-3.193551,0.0,0.15383753279999998,0.689167160128513
5.028314888437671e-05,3.9194440000000004,-2.333907,0.0,0.2195896608,0.595468898139634
6.662517227179914e-05,3.408637,-1.7083849999999998,0.0,0.2865540672,0.5011929988438193
8.296719565922158e-05,3.036219,-1.256519,0.0,0.3541361472,0.41384333607029006
9.930921904664402e-05,2.757083,-0.9233289000000001,0.0,0.42206736959999996,0.3348934000173372
0.00011565124243406643,2.541978,-0.67083,0.0,0.49021251839999996,0.2639007890705585
0.00013199326582148888,2.372019,-0.47432349999999995,0.0,0.5584975488,0.1999661469828024
0.0001483352892089113,2.234785,-0.3177293,0.0,0.6268784832,0.14217443736198337
0.00016467731259633373,2.121888,-0.1903588,0.0,0.6953281056,0.08971199233889818
0.00018101933598375615,2.027515,-0.08491994,0.0,0.763828272,0.04188375425089333
