source_y,mu_1,mu_2,td_1,td_2,I
5.2000000000000004e-05,117.3133,-2.4176990000000003,0.0,0.32865117120000004,0.020608907941384313
7.822222222222223e-05,12.82886,-1.713439,0.0,0.4943813184,0.13356128291991648
0.00010444444444444444,7.231283,-1.249832,0.0,0.6601113792,0.17283682577490053
0.00013066666666666668,5.229722,-0.9215278,0.0,0.8258414399999999,0.17620971057352572
0.00015688888888888892,4.201396,-0.6768373000000001,0.0,0.991571328,0.16109819212471285
0.00018311111111111116,3.575293,-0.487426,0.0,1.157301216,0.1363317635785375
0.00020933333333333332,3.154026,-0.3364626,0.0,1.3230319680000002,0.10667718021347954
0.0002355555555555556,2.8512060000000004,-0.21331910000000004,0.0,1.488761856,0.07481714755089601
0.0002617777777777778,2.623034,-0.1109543,0.0,1.654491744,0.04229998543671184
0.000288,2.444937,-0.02451814,0.0,1.820221632,0.010028127514124087
