theta,mu_1,mu_2,mu_3,mu_4,td_1,td_2,td_3,td_4
0.08,28.22892,14.10814,-19.76966,-19.76966,9.38972e-07,0.0,1.227841e-06,1.227841e-06
0.16000000000000003,-8.173628,11.04885,-8.173628,8.096336,1.926417e-06,9.513223e-07,1.926417e-06,0.0
0.24000000000000005,-4.858046,6.850034,-4.858046,5.662705,2.71152e-06,9.634421e-07,2.71152e-06,0.0
0.32000000000000006,-3.25036,-3.25036,4.951426,4.343463,3.564306e-06,3.564306e-06,9.750333e-07,0.0
0.4000000000000001,-2.295516,3.867215,-2.295516,3.514077,4.479778e-06,9.856357e-07,4.479778e-06,0.0
0.4800000000000001,-1.661132,3.163976,-1.661132,2.942744,5.450475e-06,9.945227e-07,5.450475e-06,0.0
0.56,2.523402,-1.208116,2.668843,-1.208116,0.0,6.459635e-06,1.000505e-06,6.459635e-06
0.64,2.200325,-0.8677769,2.298933,-0.8677769,0.0,7.470766e-06,1.00154e-06,7.470766e-06
0.7200000000000001,-0.6022179,2.008946,-0.6022179,1.94087,8.405453e-06,9.93841e-07,8.405453e-06,0.0
0.8,-0.3887942,1.770845,-0.3887942,1.723521,9.087636e-06,9.695319e-07,9.087636e-06,0.0
