source_y,mu_1,mu_2,td_1,td_2,I
3.3e-05,137.4176,-2.432563,0.0,0.13348290240000002,0.01770197558391356
4.98888888888889e-05,12.939630000000001,-1.719226,0.0,0.2017973952,0.13286515920470676
6.67777777777778e-05,7.243017999999999,-1.25136,0.0,0.270111888,0.17276776062133217
8.366666666666668e-05,5.226486,-0.9208597,0.0,0.3384263808,0.17619098185664323
0.00010055555555555555,4.194608000000001,-0.6749732,0.0,0.40674087360000005,0.16091448831452188
0.00011744444444444446,3.567713,-0.4848941,0.0,0.47505536639999996,0.13591174514317717
0.00013433333333333334,3.1464939999999997,-0.3335592,0.0,0.5433697728000001,0.10600980011403169
0.00015122222222222224,2.8439970000000003,-0.2102183,0.0,0.6116842656,0.07391649850544849
0.00016811111111111112,2.616228,-0.10776140000000001,0.0,0.6799986720000001,0.04118960579888298
0.000185,2.438541,-0.02129848,0.0,0.7483128192,0.008734107812827425
