theta,caustic_in,caustic_out
0.0,0.00012842809364548496,0.00047090301003344483
1.5254237288135593,0.00011509095417803218,0.0004657168843483163
3.0508474576271185,0.00010717531140343393,0.00046353322181985173
4.576271186440678,0.00010199740782169284,0.00046167247750871496
6.101694915254237,9.956068669976476e-05,0.00046013182231512904
7.627118644067796,9.448137766500934e-05,0.0004616090165919028
9.152542372881356,9.214303206469938e-05,0.0004607151603234968
10.677966101694915,8.985014835553892e-05,0.00046014166885109334
12.203389830508474,8.759815035319708e-05,0.00045989028935428464
13.728813559322033,8.538253186131614e-05,0.000459963961962574
15.254237288135592,8.319883064416208e-05,0.00046036686289769685
16.779661016949152,8.104260204506521e-05,0.0004583098874272653
18.305084745762713,8.172758447256114e-05,0.00045654719601913464
19.83050847457627,7.963895686452992e-05,0.0004579240019710471
21.35593220338983,7.756683829591945e-05,0.00045390964632426945
22.881355932203387,7.841079288100421e-05,0.0004530401366458021
24.406779661016948,7.639200639484896e-05,0.000449537576092765
25.93220338983051,7.437866104873772e-05,0.0004492471127343759
27.457627118644066,7.538116378750675e-05,0.00044625648962204
28.983050847457626,7.340735789862459e-05,0.0004435027873041902
30.508474576271183,7.453281019672984e-05,0.0004409857936639848
32.03389830508475,7.259167436629163e-05,0.00043870620595280605
33.559322033898304,7.384787428753843e-05,0.00043987646858229413
35.08474576271186,7.193288106453431e-05,0.00044140631562327874
36.610169491525426,7.333003967141066e-05,0.0004366470544070363
38.13559322033898,7.143497531139319e-05,0.0004354131828503966
39.66101694915254,7.298624402051425e-05,0.000430966393263989
41.1864406779661,7.110521405960003e-05,0.0004266312843576002
42.71186440677966,7.282741999397197e-05,0.00042604040696473614
44.23728813559322,7.095490563766749e-05,0.000421994965108233
45.762711864406775,7.286958639516735e-05,0.0004218765528141268
47.28813559322034,7.100058194755422e-05,0.0004220590149104611
48.813559322033896,7.313546378717964e-05,0.00041849737611552787
50.33898305084745,7.126574906335234e-05,0.0004192102886079549
51.86440677966102,7.365690165523079e-05,0.0004159448564060092
53.389830508474574,7.178354739837964e-05,0.00041724186925308157
54.91525423728813,7.447860511162944e-05,0.0004142872409334387
56.440677966101696,7.744095420922902e-05,0.00041140506923652916
57.96610169491525,7.56640220056217e-05,0.0004035414506966491
59.49152542372881,7.905551100236981e-05,0.00040581828981216505
61.01694915254237,7.730497719303977e-05,0.0004030902382208503
62.54237288135593,8.123791617125175e-05,0.00040618958085625876
64.0677966101695,7.953813501030736e-05,0.0004038089931292527
65.59322033898304,8.4176144590153e-05,0.0004014554588145759
67.11864406779661,8.257465825597635e-05,0.00039911084823721906
68.64406779661017,8.081994627413259e-05,0.00039675246352756
70.16949152542372,8.675727066264367e-05,0.00039435123028474394
71.69491525423729,8.518891028424788e-05,0.0003918689873075402
73.22033898305085,9.267959528962347e-05,0.00038925430021641863
74.7457627118644,9.15242602413586e-05,0.00038643576546351405
76.27118644067797,9.01907888403275e-05,0.0003833108525713919
77.79661016949152,0.00010126036807903308,0.000379726380296374
79.32203389830508,0.00010108060855964966,0.00038988234730150584
80.84745762711864,0.0001009251783562004,0.0003868798503654349
82.3728813559322,0.00010079392182641104,0.000383016902940362
83.89830508474576,0.00010068670786307038,0.0003775751544865139
85.42372881355932,0.00010060342959718053,0.0003688792418563286
86.94915254237287,0.00013510600558559648,0.00038960801610730153
88.47457627118644,0.00014448078544006696,0.0003894699433601806
90.0,0.00017391304347826088,0.0003959866220735786
