theta,mu_1,mu_2,mu_3,mu_4,td_21,td_31,td_41,td_32,td_42,td_43
0.0,5.872219,10.501610000000001,-6.789922,-6.789922,0.1949768064,0.2679379776,0.2679379776,0.07296117119999998,0.07296117119999998,0.0
0.06544984694978735,5.875452,10.50468,-6.9947919999999995,-6.591314,0.19451767679999998,0.2620781568,0.2733519744,0.06756048000000003,0.07883429759999999,0.011273817599999958
0.1308996938995747,5.885165,10.51342,-7.2040820000000005,-6.400366,0.1931440032,0.2557909152,0.278303904,0.06264691200000003,0.0851599008,0.022512988799999967
0.19634954084936207,5.901398,10.526480000000001,-7.415468,-6.218091,0.1908669312,0.24909716159999998,0.282779424,0.05823023039999997,0.0919124928,0.033682262400000024
0.2617993877991494,5.924218,10.54165,-7.62613,-6.0451760000000005,0.18770469120000002,0.24202039679999998,0.28676652480000003,0.05431570559999996,0.09906183360000001,0.04474612800000005
0.32724923474893675,5.953718,10.55598,-7.8327800000000005,-5.882041,0.1836819936,0.23458662719999998,0.2902548384,0.05090463359999997,0.10657284479999998,0.05566821120000001
0.39269908169872414,5.990019,10.56588,-8.031754,-5.728899,0.1788297696,0.2268247968,0.29323581120000003,0.04799502720000001,0.11440604160000004,0.06641101440000002
0.4581489286485115,6.0332669999999995,10.56736,-8.219165,-5.585801,0.173184048,0.21876670080000002,0.2957026176,0.04558265280000001,0.12251856959999999,0.07693591679999998
0.5235987755982988,6.083634,10.5563,-8.391132,-5.4526769999999996,0.16678509119999999,0.21044724480000002,0.2976502464,0.04366215360000003,0.1308651552,0.08720300159999997
0.5890486225480862,6.141318,10.528739999999999,-8.544067,-5.329373,0.1596768768,0.2019043584,0.299074896,0.042227481600000005,0.13939801919999997,0.09717053759999997
0.6544984694978735,6.20654,10.48127,-8.674989,-5.215676,0.1519058016,0.1931789952,0.29997466559999997,0.04127319360000001,0.14806886399999997,0.10679567039999996
0.7199483164476609,6.279546,10.4113,-8.781829,-5.111333999999999,0.143519904,0.1843150464,0.300348864,0.040795142399999984,0.15682896,0.1160338176
0.7853981633974483,6.360598,10.31736,-8.863660000000001,-5.016079,0.13456808639999998,0.17535890880000002,0.3001982688,0.04079082240000004,0.16563018240000002,0.12483935999999998
0.8508480103472356,6.449977,10.19925,-8.920827000000001,-4.929634,0.1250993376,0.16635913919999998,0.2995251264,0.04125980159999998,0.1744257888,0.13316598720000003
0.916297857297023,6.547974,10.05798,-8.954931,-4.851725,0.1151624736,0.1573660224,0.298333152,0.042203548800000004,0.1831706784,0.1409671296
0.9817477042468102,6.654884,9.895684,-8.968676,-4.782089,0.10480527360000001,0.14843096639999998,0.296627184,0.04362569279999996,0.19182191039999996,0.1481962176
1.0471975511965976,6.770999000000001,9.715384,-8.965618,-4.7204809999999995,0.09407456639999999,0.1396053792,0.2944134432,0.0455308128,0.2003388768,0.15480806400000002
1.112647398146385,6.89659,9.52065,-8.94984,-4.666672,0.08301578112,0.1309405824,0.29169953280000005,0.04792480128,0.20868375168000003,0.16075895040000004
1.1780972450961724,7.031898,9.315313,-8.925624000000001,-4.62046,0.0716732496,0.1224860832,0.288494352,0.050812833599999996,0.21682110240000002,0.16600826880000003
1.2435470920459597,7.1771080000000005,9.103181,-8.897148,-4.581665,0.0600899904,0.11428948800000001,0.284808096,0.05419949760000001,0.2247181056,0.17051860800000002
1.3089969389957472,7.332323,8.887819,-8.868238,-4.550135,0.0483079248,0.10639555199999999,0.280652256,0.05808762719999999,0.23234433119999998,0.17425670399999998
1.3744467859455345,7.497535000000001,8.672403,-8.842191999999999,-4.525742,0.03636801504,0.098845056,0.2760397056,0.06247704096,0.23967169056,0.17719464960000003
1.4398966328953218,7.67258,8.459639,-8.821658,-4.50839,0.0243104112,0.0916748928,0.2709846144,0.0673644816,0.2466742032,0.17930972159999997
1.505346479845109,7.857094999999999,8.251745,-8.80856,-4.498007,0.012174684480000001,0.08491718592,0.2655026208,0.07274250144,0.25332793632,0.18058543487999998
1.5707963267948966,8.050461,8.050461,-8.804064,-4.49455,1.463673024e-16,0.07859903904,0.259610832,0.07859903903999985,0.25961083199999985,0.18101179296000003
