source_x,mu_1,mu_2,td_1,td_2,I
2.914560663361324e-05,4.134062999999999,-14.6704,0.0,0.128503152,3.5486638689347507
2.925712784963445e-05,4.1279129999999995,-14.70147,0.0,0.1289674656,3.561477676491729
2.9369075784570147e-05,4.121763,-14.730529999999998,0.0,0.1294340256,3.573842067096046
2.9481452071195007e-05,4.115613,-14.75753,0.0,0.1299026592,3.5857428771850026
2.9594258348531544e-05,4.109464,-14.78241,0.0,0.13037345279999998,3.597162549665845
2.9707496261873438e-05,4.103317,-14.80512,0.0,0.1308464928,3.6080858485951737
2.9821167462810144e-05,4.097169,-14.82559,0.0,0.1313216064,3.6184960883966464
2.9935273609250396e-05,4.091023000000001,-14.843770000000001,0.0,0.1317989664,3.6283760809949
3.00498163654469e-05,4.084878,-14.85963,0.0,0.13227857280000002,3.637716964864067
3.016479740202014e-05,4.078734,-14.8731,0.0,0.1327603392,3.6464991342901993
3.028021839598323e-05,4.07259,-14.88415,0.0,0.1332442656,3.6547135852123587
3.039608103076584e-05,4.066448,-14.892729999999998,0.0,0.1337304384,3.662343647330544
3.0512386996239306e-05,4.060307,-14.89882,0.0,0.1342187712,3.6693826353524504
3.062913798874073e-05,4.054167,-14.902370000000001,0.0,0.1347094368,3.6758155251128044
3.0746335711098264e-05,4.0480279999999995,-14.903360000000001,0.0,0.13520226240000002,3.6816346131993165
3.086398187265537e-05,4.04189,-14.901760000000001,0.0,0.135697248,3.6868296762158295
3.098207818929636e-05,4.035754,-14.89755,0.0,0.1361945664,3.691391992673488
3.110062638347085e-05,4.029619,-14.890720000000002,0.0,0.1366940448,3.695317100698602
3.121962818421931e-05,4.023485,-14.88125,0.0,0.13719576960000002,3.698597111707885
3.133908532719814e-05,4.017353,-14.869129999999998,0.0,0.13769982719999999,3.7012256577900917
3.145899955470476e-05,4.011222,-14.85436,0.0,0.1382060448,3.7032006705188594
3.157937261570351e-05,4.0050930000000005,-14.836929999999999,0.0,0.1387145088,3.704515725352694
3.170020626585059e-05,3.998965,-14.81686,0.0,0.13922530560000002,3.7051737136984193
