source_y,mu_1,mu_2,mu_3,mu_4,td_1,td_2,td_3,td_4
1.5e-05,-4.392589,8.171002,-9.146375,8.171002,1.506042e-06,2.541099e-21,4.087824e-07,0.0
1.866666666666667e-05,-4.100515,8.638886,-10.37159,8.638886,1.688832e-06,3.828589e-19,3.233531e-07,0.0
2.2333333333333335e-05,-3.838454,9.290312,-11.93335,9.290312,1.881996e-06,8.470329e-22,2.482983e-07,0.0
2.6000000000000002e-05,-3.602007,10.20344,10.20344,-13.99239,2.085405e-06,3.006967e-19,0.0,1.834881e-07
2.966666666666667e-05,-3.387592,11.5177,11.5177,-16.83117,2.29891e-06,0.0,1.355253e-19,1.287739e-07
3.3333333333333335e-05,-3.192267,-20.99609,13.5048,13.5048,2.522344e-06,8.398961e-08,0.0,1.114695e-18
3.7000000000000005e-05,-3.013592,-27.69961,16.76975,16.76975,2.755528e-06,4.895449e-08,1.431486e-19,0.0
4.066666666666667e-05,-2.849525,22.98069,22.98069,-40.28012,2.998267e-06,0.0,1.609363e-20,2.347451e-08
4.433333333333334e-05,-2.698344,39.01702,-72.49814,39.01702,3.250356e-06,4.235165e-21,7.344684e-09,0.0
4.8e-05,-2.55859,169.6022,-333.8021,169.6021,3.511582e-06,1.260279e-14,3.510209e-10,0.0
