source_x,source_y,mu_1,mu_2,mu_3,mu_4,td_1,td_2,td_3,td_4
2.883189542955733e-07,2.3469988769083844e-05,0.0,0.0,-9.549774,-4.285433,0.0,0.0,0.06893099136,0.2825316288
8.082564700368526e-06,2.516553598499737e-05,7.253163,0.0,0.0,-4.216963,0.0,0.0,0.0,0.33061098240000003
1.388892467438226e-05,5.627877898413818e-06,6.276963,9.448267,-7.170386,-5.758355,0.0,0.13564039679999998,0.2068047936,0.2568414528
5.919598832382579e-06,2.5107677143453013e-05,7.52488,0.0,0.0,-4.208481,0.0,0.0,0.0,0.3194358336
1.560454236766153e-05,1.53069465335533e-05,6.2654,0.0,0.0,-4.952315,0.0,0.0,0.0,0.3156142752
2.0766653643617206e-05,1.5805065245065747e-05,5.917843,0.0,0.0,-5.041367,0.0,0.0,0.0,0.34888207680000005
3.169290213292756e-05,1.4995767228022499e-05,5.305601,0.0,0.0,-5.541793,0.0,0.0,0.0,0.41522561280000003
2.4516302541306166e-05,1.2035375836507953e-05,5.656723,0.0,0.0,-5.530465,0.0,0.0,0.0,0.35330463360000003
2.6181629183713324e-05,4.779703068664661e-06,5.530168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.816789475933813e-06,4.151135001432799e-05,8.45875,0.0,0.0,-3.444917,0.0,0.0,0.0,0.435832704
1.744175860253334e-05,5.290955276335719e-07,6.022907,9.978521,0.0,0.0,0.0,0.1709802432,0.0,0.0
1.4935815669940423e-05,3.015546904764843e-07,6.186952,9.496796,0.0,0.0,0.0,0.14641810560000001,0.0,0.0
1.879585724898241e-05,2.7580987269972884e-05,6.275714,0.0,0.0,-4.183746,0.0,0.0,0.0,0.402578208
1.6517196745961316e-06,2.252563717953818e-05,0.0,0.0,-9.367772,-4.340202,0.0,0.0,0.07820464031999999,0.28314014400000004
4.363145039067052e-06,2.8332179423504983e-05,0.0,0.0,0.0,-4.031831,0.0,0.0,0.0,0.33194534400000003
2.9922026392052707e-05,4.70490494349672e-06,5.344267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1362804301131298e-05,4.580493356067098e-06,5.793698,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.378024860882024e-06,3.104766371773082e-05,0.0,0.0,0.0,-3.899537,0.0,0.0,0.0,0.3541374432
4.282280749708506e-06,3.4427641913449716e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9247994369402852e-05,2.5166485983806098e-05,6.183206,0.0,0.0,-4.335095,0.0,0.0,0.0,0.3911277888
1.370585133105273e-05,1.5793276851183427e-05,6.418869,0.0,0.0,-4.877991,0.0,0.0,0.0,0.30735728640000004
6.597028154264453e-06,1.7618145523024284e-05,7.111537,9.016005,-8.665176,-4.661379,0.0,0.06234171264,0.1195048512,0.2789744544
3.421716130813757e-05,1.869847253671615e-06,5.145478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.752669034751165e-05,1.3972018471498109e-05,5.508028,0.0,0.0,-5.458961,0.0,0.0,0.0,0.38238410879999996
6.187983549083843e-07,1.4568517765047753e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8836933845240534e-06,2.2895945589792228e-05,0.0,0.0,-9.45708,-4.319389,0.0,0.0,0.07819681248,0.2864787264
7.80054349790902e-06,1.8047609185902248e-06,6.72174,8.381042,0.0,0.0,0.0,0.07644203712,0.0,0.0
3.285290251607427e-06,4.203478627513736e-05,0.0,0.0,0.0,-3.41601,0.0,0.0,0.0,0.4199360544
