source_x,mu_1,mu_2,mu_3,mu_4,td_1,td_2,td_3,td_4,I_2,I_3,I_4
1.4999999999999999e-05,5.7722050000000005,10.9065,-6.9427389999999995,-6.9427389999999995,0.0,0.1021172832,0.1345517568,0.1345517568,1.889485907032061,1.202788016018142,1.202788016018142
1.8e-05,5.537059999999999,12.1008,-7.4234279999999995,-7.4234279999999995,0.0,0.1225407744,0.1485104544,0.1485104544,2.185419699262786,1.3406804332985376,1.3406804332985376
2.1e-05,5.324001,13.62255,-8.079097,-8.079097,0.0,0.1429641792,0.1631639808,0.1631639808,2.5587053796571415,1.51748600347746,1.51748600347746
2.4e-05,5.130054,15.6278,-8.986294000000001,-8.986294000000001,0.0,0.1633876704,0.1785195072,0.1785195072,3.0463227092736256,1.7516957911164288,1.7516957911164288
2.7000000000000002e-05,4.952758,18.39048,-10.28077,-10.28077,0.0,0.18381116160000002,0.1945852416,0.1945852416,3.713179606191136,2.0757666738411205,2.0757666738411205
2.9999999999999997e-05,4.790058,22.43971,-12.22606,-12.22606,0.0,0.2042345664,0.2113709472,0.2113709472,4.6846426494209465,2.552382455494276,2.552382455494276
3.3e-05,4.640223000000001,28.94691,-15.407020000000001,-15.407020000000001,0.0,0.2246580576,0.22888785599999997,0.22888785599999997,6.238258376806458,3.320318872605907,3.320318872605907
3.6e-05,4.501784,41.12543,-21.42961,-21.42961,0.0,0.2450815488,0.24714875520000001,0.24714875520000001,9.135362780622083,4.7602483815305225,4.7602483815305225
3.9e-05,4.373489,72.11586,-36.86352,-36.86352,0.0,0.2655049536,0.2661683328,0.2661683328,16.48932008289034,8.428858515478145,8.428858515478145
4.2e-05,4.254262000000001,313.3757,-157.437,-157.437,0.0,0.2859284448,0.28596309119999996,0.28596309119999996,73.66158924861702,37.006888621340195,37.006888621340195
