source_x,source_y,mu_1,mu_2,mu_3,mu_4,td_1,td_2,td_3,td_4
6.224206148095106e-05,9.538656714575585e-06,5.116103,0.0,0.0,-7.411735,0.0,0.0,0.0,1.2485802240000001
1.9984224741492452e-05,6.162409229270767e-05,7.339665,0.0,0.0,-3.752796,0.0,0.0,0.0,1.28329488
2.8619418150843583e-05,2.3542944365794256e-05,6.198836,10.76294,-9.035755,-5.128672,0.0,0.4880017152,0.6038437248,0.9724337279999999
3.656498960873644e-05,1.6560495136989485e-06,5.832382,10.66523,0.0,0.0,0.0,0.6371848800000001,0.0,0.0
1.0978456729119701e-05,4.3232572754847404e-05,7.448615,9.805376,-10.19652,-4.253517,0.0,0.1780718688,0.3025141344,0.998441856
3.231564486566391e-05,2.6985613010637308e-05,6.080741,11.96971,-10.23031,-5.022934,0.0,0.5467617504,0.6248931839999999,1.043056224
4.986255347080233e-05,4.2794839598004895e-06,5.431082,12.91154,-8.366003,-7.186797,0.0,0.8682845760000001,0.989390592,1.0517688
1.4229542888041154e-05,1.1436329861024405e-05,6.736722,8.509633,-6.921329,-5.527077,0.0,0.246806352,0.535454064,0.7190853408
2.6021463298729856e-05,5.761516074827354e-06,6.212976,9.490741,-6.866459,-6.041224,0.0,0.45292953599999997,0.6994053216,0.7902404064
3.323483473458769e-05,2.739003010753337e-05,6.04876,12.27525,-10.50915,-5.017783,0.0,0.5616791424,0.6333022368,1.056557088
1.5907157026079102e-05,1.3842609900426308e-05,6.673754,8.706838,-7.155929,-5.426679,0.0,0.2752771392,0.5346985824,0.7565304096000001
2.8957993373073436e-05,4.487742727947777e-05,6.424736,0.0,0.0,-4.289634,0.0,0.0,0.0,1.184542272
2.107938504258462e-06,2.8579449408271114e-05,0.0,0.0,-8.126197,-4.737144,0.0,0.0,0.30648136319999997,0.768809664
7.561106608288753e-05,8.17352108604421e-06,4.81708,0.0,0.0,-8.987367,0.0,0.0,0.0,1.4201058240000002
7.529282975210858e-06,7.563878922428389e-05,9.579961,0.0,0.0,-3.397104,0.0,0.0,0.0,1.351355616
5.7996387384757354e-05,1.8211653902674737e-05,5.236584,0.0,0.0,-6.232832,0.0,0.0,0.0,1.261878912
3.375103888483815e-05,4.243463341191168e-05,6.175241,0.0,0.0,-4.412903,0.0,0.0,0.0,1.20794544
1.6562275196852646e-05,3.0376604914566817e-05,6.825548,9.545832,-8.848543,-4.722481,0.0,0.2787399648,0.43131700799999995,0.917444448
3.3308758980848555e-06,7.005711029940284e-06,7.271103,7.668255,-6.466383,-5.674664,0.0,0.057948125760000004,0.4660517952,0.5793558048
1.9177756852302875e-05,5.284360165611821e-05,7.142893,0.0,0.0,-3.991007,0.0,0.0,0.0,1.176849216
1.8965645619460456e-05,6.635829047821333e-05,7.584435,0.0,0.0,-3.629934,0.0,0.0,0.0,1.329620832
3.94032198927684e-05,2.132291005027168e-05,5.791893,12.72422,-10.28561,-5.435937,0.0,0.6736315968000001,0.7453510272,1.0687464
3.9178294316144965e-05,3.0400114544363663e-05,5.853561,0.0,0.0,-4.969464,0.0,0.0,0.0,1.148593824
