source_x,mu_1,mu_2,mu_3,mu_4,td_1,td_2,td_3,td_4
2.8284271247461903e-07,-6.022502,7.462406,-6.062401,7.42068,1.822295e-06,2.269263e-08,1.801228e-06,0.0
3.194356621752323e-07,-6.019955,7.46514,-6.065016,7.418015,1.825135e-06,2.562847e-08,1.801342e-06,0.0
3.6076284722550676e-07,-6.017083,7.468232,-6.067975,7.41501,1.828343e-06,2.894413e-08,1.801472e-06,0.0
4.074367622324477e-07,-6.013846,7.471731,-6.071324,7.411622,1.831969e-06,3.268873e-08,1.801621e-06,0.0
4.601491436691457e-07,-6.010198,7.475692,-6.075114,7.407804,1.836066e-06,3.691775e-08,1.801792e-06,0.0
5.196812218398933e-07,-6.006088,7.480175,-6.079405,7.403502,1.840695e-06,4.169387e-08,1.801987e-06,0.0
5.869152991995739e-07,-6.001458,7.485253,-6.084266,7.398656,1.845927e-06,4.708784e-08,1.802211e-06,0.0
6.628478266252443e-07,-5.996246,7.491005,-6.089773,7.393198,1.85184e-06,5.317958e-08,1.802469e-06,0.0
7.486041714383884e-07,-5.99038,7.497524,-6.096015,7.387056,1.858523e-06,6.00593e-08,1.802766e-06,0.0
8.454552960491112e-07,-5.983781,7.504916,-6.103095,7.380144,1.866079e-06,6.782892e-08,1.803108e-06,0.0
9.54836594410185e-07,-5.97636,7.513302,-6.111128,7.372371,1.874621e-06,7.660347e-08,1.803505e-06,0.0
1.0783691654489105e-06,-5.968021,7.522822,-6.120249,7.363633,1.88428e-06,8.651286e-08,1.803964e-06,0.0
1.2178838387622793e-06,-5.958654,7.533636,-6.130614,7.353816,1.895204e-06,9.770373e-08,1.804498e-06,0.0
1.3754483086512357e-06,-5.948141,7.54593,-6.1424,7.342795,1.907559e-06,1.103417e-07,1.805121e-06,0.0
1.5533977786372612e-06,-5.936349,7.559919,-6.155817,7.33043,1.921537e-06,1.246135e-07,1.805849e-06,0.0
1.7543695706321405e-06,-5.923135,7.575855,-6.171105,7.31657,1.937353e-06,1.407301e-07,1.806703e-06,0.0
1.9813422116903373e-06,-5.908341,7.594028,-6.188549,7.301045,1.955254e-06,1.589295e-07,1.807708e-06,0.0
2.237679577633931e-06,-5.891794,7.614783,-6.208481,7.283675,1.975519e-06,1.794801e-07,1.808895e-06,0.0
2.5271807477862137e-06,-5.873307,7.638524,-6.231293,7.26426,1.998467e-06,2.026845e-07,1.810301e-06,0.0
2.8541363096920117e-06,-5.852679,7.66573,-6.257452,7.242586,2.024461e-06,2.28884e-07,1.811973e-06,0.0
3.223391948295831e-06,-5.829693,7.696973,-6.287516,7.218421,2.053916e-06,2.58463e-07,1.813969e-06,0.0
3.640420262009007e-06,-5.804117,7.732942,-6.322158,7.191517,2.087305e-06,2.918542e-07,1.81636e-06,0.0
4.1114018700246024e-06,-5.775704,7.774473,-6.362196,7.161611,2.125168e-06,3.295444e-07,1.819236e-06,0.0
4.643317012941058e-06,-5.744194,7.822588,-6.408633,7.128423,2.168126e-06,3.720804e-07,1.822708e-06,0.0
5.244049004272817e-06,-5.709312,7.878558,-6.462721,7.091659,2.216885e-06,4.200757e-07,1.826916e-06,0.0
5.922501066063611e-06,-5.670774,7.943976,-6.526029,7.051012,2.27226e-06,4.742171e-07,1.832034e-06,0.0
6.688728280179081e-06,-5.628282,8.020872,-6.60057,7.006164,2.335181e-06,5.352715e-07,1.838285e-06,0.0
7.554086610878961e-06,-5.581528,8.111884,-6.688956,6.956785,2.406719e-06,6.040922e-07,1.845949e-06,0.0
8.53140120727596e-06,-5.530193,8.2205,-6.794659,6.902538,2.488104e-06,6.816244e-07,1.85538e-06,0.0
9.635156480028887e-06,-5.473946,8.35145,-6.922393,6.843075,2.580753e-06,7.689082e-07,1.867032e-06,0.0
1.088171076932445e-05,-5.412441,8.511329,-7.078745,6.778045,2.686294e-06,8.670779e-07,1.881485e-06,0.0
1.2289538785661425e-05,-5.345312,8.709642,6.707084,-7.273224,2.806603e-06,9.773545e-07,0.0,1.899489e-06
1.3879505416559857e-05,-5.272162,8.960665,6.629819,-7.520128,2.943839e-06,1.101027e-06,0.0,1.922017e-06
1.5675174957181766e-05,-5.19255,9.286947,6.545859,-7.842056,3.100488e-06,1.239414e-06,0.0,1.950347e-06
1.7703160347853403e-05,-5.105978,9.72653,-8.277139,6.454795,3.279413e-06,1.393789e-06,1.98618e-06,0.0
1.999351759440619e-05,-5.011859,10.34952,-8.895626,6.356187,3.483904e-06,1.565253e-06,2.031825e-06,0.0
2.258019121689194e-05,-4.9095,-9.844481,6.249561,11.30267,3.717742e-06,2.090504e-06,0.0,1.754469e-06
2.5501517328499295e-05,-4.798069,-11.50034,6.134401,12.9623,3.985259e-06,2.16693e-06,0.0,1.961146e-06
2.8800791800613657e-05,-4.676573,6.010156,16.75795,-15.29318,4.291418e-06,0.0,2.182737e-06,2.268653e-06
3.25269119345812e-05,-4.543848,5.876246,50.94884,-49.48279,4.641883e-06,0.0,2.408972e-06,2.411565e-06
