source_y,mu_1,mu_2,td_1,td_2,I
2.687005768508881e-05,5.667321,-4.332412000000001,0.0,0.21798149760000002,0.764455022046572
5.656854249492379e-05,4.519941,-3.059149,0.0,0.397534608,0.6768117105953374
8.62670273047588e-05,3.747348,-2.123145,0.0,0.5851840032,0.5665726801994371
0.00011596551211459379,3.2215740000000004,-1.480581,0.0,0.7761176352000001,0.4595831106161149
0.00014566399692442878,2.8522380000000003,-1.036263,0.0,0.9686174399999999,0.3633157541551581
0.00017536248173426376,2.582737,-0.7183602,0.0,1.1619659519999999,0.2781391214049282
0.0002050609665440988,2.379066,-0.4824151,0.0,1.355819904,0.20277499657428588
0.0002347594513539338,2.220459,-0.3014932,0.0,1.5499969919999999,0.1357796743826389
0.0002644579361637688,2.0938,-0.1588776,0.0,1.7443943999999998,0.07588002674562996
0.0002941564209736037,1.9905009999999999,-0.04382594,0.0,1.9389456000000003,0.022017542317235714
