source_y,mu_1,mu_2,td_1,td_2
5.2e-05,-2.417699,117.3133,3.803833e-06,0.0
7.822222222222223e-05,12.82886,-1.713439,0.0,5.722006e-06
0.00010444444444444444,7.231283,-1.249832,0.0,7.640178e-06
0.00013066666666666668,5.229722,-0.9215278,0.0,9.55835e-06
0.0001568888888888889,4.201396,-0.6768373,0.0,1.147652e-05
0.00018311111111111113,3.575293,-0.487426,0.0,1.339469e-05
0.00020933333333333334,3.154026,-0.3364626,0.0,1.531287e-05
0.00023555555555555556,2.851206,-0.2133191,0.0,1.723104e-05
0.0002617777777777778,2.623034,-0.1109543,0.0,1.914921e-05
0.000288,2.444937,-0.02451814,0.0,2.106738e-05
