source_x,mu_1,mu_2,td_1,td_2
6.609548043951887e-05,3.422727,-1.725595,0.0,3.291341e-06
6.734863459097137e-05,3.389624,-1.685172,0.0,3.351107e-06
6.862554823878972e-05,3.356706,-1.645008,0.0,3.412046e-06
6.992667185721681e-05,3.32398,-1.605119,0.0,3.47418e-06
7.125246446137698e-05,3.291455,-1.565516,0.0,3.537533e-06
7.260339376920918e-05,3.259139,-1.526211,0.0,3.602126e-06
7.397993636647027e-05,3.22704,-1.487217,0.0,3.667982e-06
7.538257787486611e-05,3.195166,-1.448544,0.0,3.735126e-06
7.681181312337181e-05,3.163523,-1.410203,0.0,3.803581e-06
7.826814632279878e-05,3.132118,-1.372204,0.0,3.873371e-06
7.975209124367211e-05,3.100958,-1.334556,0.0,3.944522e-06
8.126417139748049e-05,3.07005,-1.297267,0.0,4.017059e-06
8.280492022136242e-05,3.039399,-1.260346,0.0,4.091008e-06
8.437488126629417e-05,3.009011,-1.2238,0.0,4.166395e-06
8.597460838884564e-05,2.978891,-1.187636,0.0,4.243246e-06
8.760466594657186e-05,2.949044,-1.151861,0.0,4.32159e-06
8.926562899710925e-05,2.919475,-1.11648,0.0,4.401455e-06
9.095808350104625e-05,2.890188,-1.081498,0.0,4.482867e-06
9.268262652864105e-05,2.861188,-1.046921,0.0,4.565858e-06
9.443986647045776e-05,2.832478,-1.012752,0.0,4.650455e-06
9.6230423251997e-05,2.804062,-0.9789957,0.0,4.736689e-06
9.805492855239523e-05,2.775942,-0.9456547,0.0,4.824591e-06
9.991402602727103e-05,2.748123,-0.912732,0.0,4.914191e-06
0.00010180837153579608,2.720606,-0.8802299,0.0,5.005522e-06
0.00010373863337207164,2.693394,-0.8481501,0.0,5.098616e-06
0.00010570549250089177,2.666488,-0.8164942,0.0,5.193506e-06
0.00010770964279797677,2.639892,-0.7852631,0.0,5.290225e-06
0.00010975179129476033,2.613606,-0.7544574,0.0,5.388808e-06
0.00011183265842781991,2.587631,-0.7240775,0.0,5.48929e-06
0.00011395297829303417,2.561969,-0.6941232,0.0,5.591706e-06
0.00011611349890456013,2.536621,-0.664594,0.0,5.696093e-06
0.00011831498245872045,2.511586,-0.6354892,0.0,5.802487e-06
0.00012055820560289363,2.486867,-0.6068077,0.0,5.910926e-06
0.00012284395970950268,2.462461,-0.578548,0.0,6.021448e-06
0.0001251730511551983,2.438371,-0.5507086,0.0,6.134093e-06
0.00012754630160533538,2.414595,-0.5232874,0.0,6.2489e-06
0.00012996454830384297,2.391132,-0.4962824,0.0,6.36591e-06
0.0001324286443685904,2.367983,-0.4696911,0.0,6.485165e-06
0.00013493945909235326,2.345147,-0.4435108,0.0,6.606705e-06
0.0001374978782494857,2.322622,-0.4177388,0.0,6.730576e-06
0.00014010480440840702,2.300408,-0.3923721,0.0,6.856819e-06
0.0001427611572500131,2.278503,-0.3674074,0.0,6.98548e-06
0.00014546787389212482,2.256906,-0.3428414,0.0,7.116604e-06
0.0001482259092200879,2.235615,-0.3186706,0.0,7.250238e-06
0.00015103623622364067,2.214628,-0.2948913,0.0,7.386429e-06
0.00015389984634016916,2.193945,-0.2714998,0.0,7.525224e-06
0.00015681774980446975,2.173562,-0.2484921,0.0,7.666673e-06
0.0001597909760051437,2.153478,-0.2258644,0.0,7.810826e-06
0.00016282057384774847,2.133691,-0.2036124,0.0,7.957734e-06
0.00016590761212483446,2.114198,-0.181732,0.0,8.107448e-06
0.0001690531798929976,2.094998,-0.160219,0.0,8.260022e-06
0.00017225838685708058,2.076088,-0.139069,0.0,8.415509e-06
0.00017552436376165863,2.057464,-0.1182777,0.0,8.573964e-06
0.000178852262789948,2.039126,-0.09784052,0.0,8.735443e-06
0.0001822432579702764,2.021069,-0.07775311,0.0,8.900003e-06
0.0001856985455902621,2.003293,-0.05801092,0.0,9.067702e-06
0.00018921934461884428,1.985793,-0.03860941,0.0,9.238599e-06
