ellip,mu_1,mu_2,mu_3,mu_4,td_21,td_31,td_41,td_32,td_42,td_43
0.08,14.108139999999999,28.228920000000002,-19.769660000000002,-19.769660000000002,0.0811271808,0.1060854624,0.1060854624,0.024958281599999993,0.024958281599999993,0.0
0.16000000000000006,8.096336,11.04885,-8.173627999999999,-8.173627999999999,0.08219424672,0.1664424288,0.1664424288,0.08424818207999998,0.08424818207999998,0.0
0.24000000000000005,5.662705,6.850034,-4.858046,-4.858046,0.08324139744,0.234275328,0.234275328,0.15103393056,0.15103393056,0.0
0.3200000000000001,4.343463,4.9514260000000005,-3.2503599999999997,-3.2503599999999997,0.08424287712,0.3079560384,0.3079560384,0.22371316128000002,0.22371316128000002,0.0
0.4000000000000001,3.514077,3.8672150000000003,-2.295516,-2.295516,0.08515892448000001,0.38705281919999995,0.38705281919999995,0.30189389471999994,0.30189389471999994,0.0
0.4800000000000001,2.942744,3.163976,-1.661132,-1.661132,0.08592676128,0.47092104000000007,0.47092104000000007,0.3849942787200001,0.3849942787200001,0.0
0.56,2.523402,2.668843,-1.208116,-1.208116,0.08644363199999999,0.558112464,0.558112464,0.47166883200000004,0.47166883200000004,0.0
0.64,2.200325,2.2989330000000003,-0.8677769000000001,-0.8677769000000001,0.086533056,0.6454741824,0.6454741824,0.5589411263999999,0.5589411263999999,0.0
0.7200000000000001,1.94087,2.008946,-0.6022179,-0.6022179,0.0858678624,0.7262311391999999,0.7262311391999999,0.6403632767999999,0.6403632767999999,0.0
0.8,1.7235209999999999,1.770845,-0.3887942,-0.3887942,0.08376755616,0.7851717504,0.7851717504,0.70140419424,0.70140419424,0.0
