M_lz,overlap,tc,phi_c
0.0015578141103958897,0.982591278290905,0.001975670694903153,0.46233267286704804
0.001868370500763738,0.9325451006119152,0.0015963446355611803,0.21652956063996534
0.0022408375330719124,0.8567102612524703,-0.0010431863886869782,-0.6776381465180962
0.002687557338103564,0.8799697830480022,-0.0025288484456859788,-1.066722492614517
0.0032233324991180947,0.8733516159949238,-0.0015289612593768801,-0.6186156026202803
0.00386591655276176,0.8688155064372534,0.0004506043905150639,0.16148031767337176
0.004636602273270417,0.8452998596473957,0.0006971468618970374,0.22884591474698987
0.005560927233449576,0.8588968008762149,-0.0006671667413776706,-0.2496745320525735
0.006669520022020156,0.858656977248854,0.0007212835900471057,0.25192505757013284
0.007999115157731366,0.8573743659416233,-0.000374131712823821,-0.1278916913322615
0.009593770330607224,0.8484565711043408,0.00021671941977388594,0.07255552865384768
0.011506326305038835,0.8574480241545053,0.000349252358386237,0.11326456525087118
0.013800157860319443,0.8573218319798935,0.0002018307687483263,0.062379898275715454
0.01655127378808451,0.8521058813755353,0.00018296745319107858,0.05708400205547077
0.01985083553252862,0.8518349878589877,-0.00015030002965655553,-0.04760933127744345
0.023808177931488685,0.8538323164334927,0.00018103300469865145,0.06481094191645646
0.02855443215418256,0.8537656158143601,0.00010947082140106797,0.0336750638851299
0.034246870885882706,0.8522230419293169,-3.9457092211080275e-05,-0.009838020564369613
0.04107411974230155,0.8522551059276497,3.175084974789615e-05,0.0078071686527329265
0.04926240759999999,0.8544242436881595,-8.015040398184702e-05,-0.027719465338494575
