source_x,overlap,tc,phi_c
1e-05,0.7076324432962521,5.542013925130649e-05,-0.9045864122899971
1.5444444444444446e-05,0.7302825032745891,-3.929348988733265e-05,-1.0130703318386554
2.0888888888888887e-05,0.7336246452065008,5.293628099997059e-05,-1.0557840017957936
2.633333333333333e-05,0.7584285571731912,-4.225378082725742e-05,-1.1623595474659145
3.177777777777777e-05,0.9999999999706505,-5.994386212886389e-08,-2.5434261904833406e-05
3.722222222222222e-05,0.9999999999623955,-6.566705813214884e-08,-2.5688175553271127e-05
4.266666666666666e-05,0.999999999975114,-5.127803725024036e-08,-1.91528601734688e-05
4.81111111111111e-05,0.9999999999684929,-6.21031948994862e-08,-2.6258516657299014e-05
5.355555555555555e-05,0.9999999999844945,-2.242277031432441e-08,-1.4291714735449613e-05
5.9e-05,0.9999999999709307,-5.96569106512671e-08,-2.5300358785964807e-05
