0,"[0.1, 0.029557444559999996, 0.7662058227231615]"
7,"[0.13165829145728644, 0.029557444559999996, 0.7276854764082358]"
3,"[0.1135678391959799, 0.029557444559999996, 0.7910310699223693]"
1,"[0.10452261306532663, 0.029557444559999996, 0.7836307640757754]"
2,"[0.10904522613065327, 0.029557444559999996, 0.7922169330842947]"
6,"[0.1271356783919598, 0.029557444559999996, 0.7426090356261167]"
9,"[0.1407035175879397, 0.029557444559999996, 0.7335011805548527]"
8,"[0.13618090452261306, 0.029557444559999996, 0.72471043515749]"
4,"[0.11809045226130654, 0.029557444559999996, 0.7805572857474757]"
5,"[0.12261306532663317, 0.029557444559999996, 0.7628156962328903]"
17,"[0.17688442211055277, 0.029557444559999996, 0.7457210766212263]"
15,"[0.1678391959798995, 0.029557444559999996, 0.7523117831157012]"
11,"[0.14974874371859298, 0.029557444559999996, 0.7599813959585887]"
10,"[0.14522613065326634, 0.029557444559999996, 0.7475730449762193]"
16,"[0.17236180904522613, 0.029557444559999996, 0.7456638776927771]"
13,"[0.15879396984924624, 0.029557444559999996, 0.7667191580854543]"
14,"[0.16331658291457285, 0.029557444559999996, 0.7609180860179241]"
27,"[0.22211055276381908, 0.029557444559999996, 0.7754505788946848]"
21,"[0.19497487437185929, 0.029557444559999996, 0.7917773332750422]"
18,"[0.18140703517587942, 0.029557444559999996, 0.7539805914381735]"
12,"[0.1542713567839196, 0.029557444559999996, 0.7667378450904311]"
26,"[0.21758793969849247, 0.029557444559999996, 0.7780611688106825]"
25,"[0.21306532663316582, 0.029557444559999996, 0.7844806510366504]"
20,"[0.19045226130653267, 0.029557444559999996, 0.7813591106120885]"
24,"[0.2085427135678392, 0.029557444559999996, 0.7916832632657652]"
22,"[0.19949748743718593, 0.029557444559999996, 0.7969138064570244]"
23,"[0.20402010050251257, 0.029557444559999996, 0.796548588093671]"
19,"[0.18592964824120603, 0.029557444559999996, 0.7674875448513113]"
28,"[0.22663316582914572, 0.029557444559999996, 0.7778671274075393]"
37,"[0.2673366834170854, 0.029557444559999996, 0.7799313410930239]"
36,"[0.2628140703517588, 0.029557444559999996, 0.7793236024100978]"
32,"[0.24472361809045226, 0.029557444559999996, 0.7969858316867776]"
34,"[0.2537688442211055, 0.029557444559999996, 0.7891951639838666]"
33,"[0.2492462311557789, 0.029557444559999996, 0.7945190766185143]"
29,"[0.23115577889447236, 0.029557444559999996, 0.7839342014578599]"
35,"[0.25829145728643216, 0.029557444559999996, 0.783172866354709]"
30,"[0.235678391959799, 0.029557444559999996, 0.7907575646595719]"
31,"[0.24020100502512562, 0.029557444559999996, 0.7956342764022557]"
47,"[0.31256281407035175, 0.029557444559999996, 0.8068777796564004]"
43,"[0.29447236180904524, 0.029557444559999996, 0.8104672631512777]"
38,"[0.271859296482412, 0.029557444559999996, 0.7852467133369864]"
48,"[0.3170854271356784, 0.029557444559999996, 0.8112903474642119]"
46,"[0.30804020100502516, 0.029557444559999996, 0.8050317966861537]"
39,"[0.27638190954773867, 0.029557444559999996, 0.7933560027826793]"
42,"[0.2899497487437186, 0.029557444559999996, 0.8105500401657053]"
44,"[0.2989949748743719, 0.029557444559999996, 0.8083563732732914]"
45,"[0.3035175879396985, 0.029557444559999996, 0.8059203135894256]"
40,"[0.2809045226130653, 0.029557444559999996, 0.801524080719329]"
41,"[0.28542713567839195, 0.029557444559999996, 0.8075954683829116]"
54,"[0.3442211055276382, 0.029557444559999996, 0.8201327265403044]"
49,"[0.32160804020100503, 0.029557444559999996, 0.8168933510809494]"
50,"[0.3261306532663316, 0.029557444559999996, 0.8219229491812806]"
59,"[0.3668341708542714, 0.029557444559999996, 0.8243536897739101]"
52,"[0.3351758793969849, 0.029557444559999996, 0.825496846165428]"
58,"[0.36231155778894475, 0.029557444559999996, 0.8195414854283977]"
55,"[0.3487437185929648, 0.029557444559999996, 0.8167287138106738]"
53,"[0.33969849246231154, 0.029557444559999996, 0.823565223668723]"
57,"[0.3577889447236181, 0.029557444559999996, 0.816016134899296]"
60,"[0.37135678391959803, 0.029557444559999996, 0.8289091889708983]"
51,"[0.33065326633165826, 0.029557444559999996, 0.8250031338244274]"
56,"[0.35326633165829147, 0.029557444559999996, 0.8150154687304312]"
61,"[0.37587939698492456, 0.029557444559999996, 0.8320506774192741]"
64,"[0.3894472361809045, 0.029557444559999996, 0.8319293778342615]"
68,"[0.40753768844221105, 0.029557444559999996, 0.8395762778871267]"
69,"[0.4120603015075377, 0.029557444559999996, 0.8441983067309171]"
65,"[0.39396984924623113, 0.029557444559999996, 0.8313634053852866]"
70,"[0.41658291457286434, 0.029557444559999996, 0.8480040422864715]"
63,"[0.38492462311557785, 0.029557444559999996, 0.8329865310840497]"
71,"[0.421105527638191, 0.029557444559999996, 0.8502514275808205]"
62,"[0.3804020100502512, 0.029557444559999996, 0.8333201477316114]"
67,"[0.4030150753768844, 0.029557444559999996, 0.8352611507460039]"
66,"[0.39849246231155777, 0.029557444559999996, 0.8323501858280115]"
72,"[0.4256281407035176, 0.029557444559999996, 0.8507347824168057]"
73,"[0.43015075376884426, 0.029557444559999996, 0.8497844483424013]"
81,"[0.4663316582914573, 0.029557444559999996, 0.8584628783592557]"
74,"[0.4346733668341708, 0.029557444559999996, 0.8481795859850068]"
78,"[0.45276381909547736, 0.029557444559999996, 0.8512370718211385]"
83,"[0.47537688442211057, 0.029557444559999996, 0.8583173244902607]"
77,"[0.4482412060301507, 0.029557444559999996, 0.8484857085659552]"
75,"[0.43919597989949744, 0.029557444559999996, 0.8469357078246696]"
