source_x,overlap,tc,phi_c
2.8e-05,0.9935004742094007,0.12200907163646442,1.5754937193590952
4.6555555555555556e-05,0.7905043747265192,0.2,0.36610591442624835
6.511111111111111e-05,0.6612584823325909,9.571251004657245e-05,0.036783617534871804
8.366666666666666e-05,0.7384062788865229,-6.765007656777239e-05,-0.025955558619284776
0.00010222222222222222,0.7970870567971737,-2.8610931608806963e-05,-0.009084625562804784
0.00012077777777777777,0.8432008795432171,2.0055434521391335e-05,0.007219452442912358
0.00013933333333333332,0.883216283503622,1.5833818675634804e-05,0.004840705164241563
0.00015788888888888886,0.9196901526298831,-2.004476196607049e-06,-0.00011444093850120971
0.00017644444444444443,0.9535165542302277,-1.2898686463660288e-05,-0.004776083855866984
0.000195,0.9850019078241713,1.0684770905076107e-06,0.00037685486197777153
