source_x,overlap,tc,phi_c
3.7e-05,0.8569174344857349,0.2,-0.14347748305309868
6.044444444444444e-05,0.5468537137278515,7.191680886446372e-05,0.028865863566170727
8.388888888888888e-05,0.6681517344113774,-6.154777883324778e-05,-0.023814812386559962
0.00010733333333333333,0.7438954134992883,-3.10608400270053e-05,-0.009583531506945018
0.00013077777777777778,0.7997383819596525,-1.2722729774507728e-05,-0.004882610357680492
0.00015422222222222223,0.8456528233725236,1.2788084942380134e-05,0.004408335884324572
0.00017766666666666666,0.8854151010652102,1.6552462149548275e-05,0.0060610134415372075
0.00020111111111111108,0.9216657700481574,7.659287682048083e-07,-7.390942320889284e-05
0.00022455555555555561,0.9551887873041428,-2.787124525475539e-06,-0.0007569905805617394
0.000248,0.9865513708915148,-4.019290271723054e-06,-0.0014991935922477665
