source_x,overlap,tc,phi_c
4.5e-05,0.17544048602719273,-0.0005794479187853762,-0.21345286985002335
7.422222222222223e-05,0.550958120026399,-3.2459051713644104e-05,-0.013101183972292683
0.00010344444444444444,0.6695783653277673,3.6121171973367515e-05,0.011786680301279237
0.00013266666666666667,0.7433629360509463,-4.5167363633642865e-07,-0.0005573281332926577
0.00016188888888888888,0.800077285073199,-1.99553982149182e-05,-0.007137805820606291
0.00019111111111111108,0.8466343502254271,4.5620693084195624e-08,-5.1208095308333506e-05
0.0002203333333333333,0.8867979086926737,9.32955888286517e-06,0.003244657580688853
0.00024955555555555554,0.9231863243206437,4.021436360835182e-05,0.02037021992183907
0.00027877777777777775,0.9569581684047098,-3.932685105846371e-06,-0.0013305634097288603
0.000308,0.9884727181639102,1.0732934914484275e-06,0.00043187229052260606
