source_x,overlap,tc,phi_c
3.299999999999997e-05,0.9912972892815934,2.2343221241163806e-05,0.008735350644132247
3.5457492066870346e-05,0.9798616169413696,3.169833579061305e-05,0.012040387613176787
3.809799223249016e-05,0.9694242618331391,3.543852728424404e-05,0.011481253108927739
4.093512901052149e-05,0.9597486675668842,2.4278283961145837e-05,0.006872543490755558
4.398354582263269e-05,0.9513288730947277,-2.920778442112563e-05,-0.009524803499093196
4.725897657814632e-05,0.9447640106956262,2.776579103705435e-06,0.002573744984074275
5.077832688206171e-05,0.9377879495750983,1.4595928119015138e-05,0.0038368382360534853
5.455976129059558e-05,0.9331965682163316,-1.2452842756295104e-05,-0.005065672165802223
5.862279706459499e-05,0.9283375046276374,-2.5356430053103106e-05,-0.007256783695779109
6.298840490471605e-05,0.9249841225491168,6.273162486865123e-06,0.0011825866450146905
6.767911718829664e-05,0.9226714774093944,2.6877573576303878e-05,0.009160684795227218
7.271914426657028e-05,0.9214387359152422,1.6835982293471322e-05,0.006702395263214732
7.813449942247028e-05,0.921287904693685,-4.2811532730053316e-05,-0.016090587088834582
8.395313313397341e-05,0.9224489402286106,2.597074370651235e-05,0.010217989652690527
9.020507733596288e-05,0.9235799651287591,-3.457784872606784e-05,-0.013116303000091676
9.692260042519192e-05,0.9261664904270448,1.847959676929696e-05,0.007236934697322291
0.00010414037380838458,0.9297572058947481,1.1694766774160449e-05,0.0036692586368981344
0.0001118956508530822,0.934470089586913,1.070255970644331e-06,0.001965266605989357
0.00012022845916486245,0.9403724959407396,9.235167919798567e-06,0.003943330005788425
0.0001291818071833381,0.9467845031417004,-1.8855746125162168e-05,-0.006760183341396012
0.00013880190616324814,0.9544453169936075,-1.798591553754749e-05,-0.006813047708741879
0.00014913840868635935,0.9632462355309487,-6.0796552875437305e-06,-0.002305174749111153
0.00016024466493521985,0.9728881139920774,-4.53942446747874e-07,-9.471180645483299e-05
0.00017217799805148063,0.9837305353191496,3.740772227958854e-06,0.0014000931419499544
0.000185,0.9956613675655,-3.195923203556325e-06,-0.0010956304297131997
