3,"[0.16923076923076924, 4.926240759999999e-05, 0.999374528680538]"
2,"[0.14615384615384616, 4.926240759999999e-05, 0.9993653381381744]"
9,"[0.3076923076923077, 4.926240759999999e-05, 0.9994266100237338]"
1,"[0.12307692307692308, 4.926240759999999e-05, 0.9993559958657869]"
11,"[0.3538461538461538, 4.926240759999999e-05, 0.9994428555161942]"
0,"[0.1, 4.926240759999999e-05, 0.9993464995708634]"
5,"[0.2153846153846154, 4.926240759999999e-05, 0.9993924635865054]"
6,"[0.23846153846153847, 4.926240759999999e-05, 0.9994012123775629]"
14,"[0.42307692307692313, 4.926240759999999e-05, 0.9994662350364666]"
10,"[0.3307692307692308, 4.926240759999999e-05, 0.9994348000216261]"
7,"[0.26153846153846155, 4.926240759999999e-05, 0.9994098182942724]"
13,"[0.4, 4.926240759999999e-05, 0.999458571046256]"
4,"[0.19230769230769232, 4.926240759999999e-05, 0.9993835697535646]"
12,"[0.3769230769230769, 4.926240759999999e-05, 0.9994507785272717]"
23,"[0.6307692307692307, 4.926240759999999e-05, 0.9995297376565996]"
21,"[0.5846153846153846, 4.926240759999999e-05, 0.9995164433482266]"
16,"[0.46923076923076923, 4.926240759999999e-05, 0.9994811851455954]"
19,"[0.5384615384615384, 4.926240759999999e-05, 0.9995026938513737]"
8,"[0.2846153846153846, 4.926240759999999e-05, 0.9994182834738832]"
20,"[0.5615384615384615, 4.926240759999999e-05, 0.9995096263708715]"
17,"[0.49230769230769234, 4.926240759999999e-05, 0.9994884750539621]"
25,"[0.676923076923077, 4.926240759999999e-05, 0.9995425904887846]"
34,"[0.8846153846153847, 4.926240759999999e-05, 0.9995953134075525]"
15,"[0.4461538461538461, 4.926240759999999e-05, 0.9994737724335019]"
26,"[0.7000000000000001, 4.926240759999999e-05, 0.9995488555296481]"
35,"[0.9076923076923077, 4.926240759999999e-05, 0.9996006857466184]"
28,"[0.7461538461538462, 4.926240759999999e-05, 0.9995610710091405]"
33,"[0.8615384615384616, 4.926240759999999e-05, 0.999589847886261]"
27,"[0.7230769230769231, 4.926240759999999e-05, 0.9995550151677005]"
18,"[0.5153846153846154, 4.926240759999999e-05, 0.9994956440131486]"
29,"[0.7692307692307693, 4.926240759999999e-05, 0.9995670246370971]"
30,"[0.7923076923076923, 4.926240759999999e-05, 0.9995728776119329]"
24,"[0.6538461538461539, 4.926240759999999e-05, 0.9995362184155281]"
22,"[0.6076923076923076, 4.926240759999999e-05, 0.999523146534708]"
31,"[0.8153846153846154, 4.926240759999999e-05, 0.9995786314715522]"
38,"[0.9769230769230769, 4.926240759999999e-05, 0.9996162578678094]"
36,"[0.9307692307692308, 4.926240759999999e-05, 0.9996059663335154]"
37,"[0.9538461538461539, 4.926240759999999e-05, 0.9996111565776]"
32,"[0.8384615384615385, 4.926240759999999e-05, 0.9995842877317003]"
39,"[1.0, 4.926240759999999e-05, 0.9996212715729408]"
41,"[0.12307692307692308, 0.0008690393956102564, 0.9947958346407791]"
52,"[0.3769230769230769, 0.0008690393956102564, 0.9954222399732715]"
45,"[0.2153846153846154, 0.0008690393956102564, 0.9952537042058669]"
40,"[0.1, 0.0008690393956102564, 0.9946302760577256]"
44,"[0.19230769230769232, 0.0008690393956102564, 0.9951674004445873]"
48,"[0.2846153846153846, 0.0008690393956102564, 0.9954137406015108]"
42,"[0.14615384615384616, 0.0008690393956102564, 0.9949396388057139]"
50,"[0.3307692307692308, 0.0008690393956102564, 0.9954454067064185]"
46,"[0.23846153846153847, 0.0008690393956102564, 0.9953229704768541]"
47,"[0.26153846153846155, 0.0008690393956102564, 0.9953760631688022]"
43,"[0.16923076923076924, 0.0008690393956102564, 0.9950630801731322]"
57,"[0.49230769230769234, 0.0008690393956102564, 0.9951423753711652]"
64,"[0.6538461538461539, 0.0008690393956102564, 0.9942519464915974]"
55,"[0.4461538461538461, 0.0008690393956102564, 0.9952911592602295]"
49,"[0.3076923076923077, 0.0008690393956102564, 0.9954366642273473]"
59,"[0.5384615384615384, 0.0008690393956102564, 0.9949458887328063]"
56,"[0.46923076923076923, 0.0008690393956102564, 0.9952227908603472]"
58,"[0.5153846153846154, 0.0008690393956102564, 0.9950500388764362]"
60,"[0.5615384615384615, 0.0008690393956102564, 0.9948300247972918]"
51,"[0.3538461538461538, 0.0008690393956102564, 0.9954404594775502]"
61,"[0.5846153846153846, 0.0008690393956102564, 0.9947025523214442]"
63,"[0.6307692307692307, 0.0008690393956102564, 0.9944133214159707]"
73,"[0.8615384615384616, 0.0008690393956102564, 0.9923993959966207]"
54,"[0.42307692307692313, 0.0008690393956102564, 0.9953473258850392]"
62,"[0.6076923076923076, 0.0008690393956102564, 0.9945635968435493]"
75,"[0.9076923076923077, 0.0008690393956102564, 0.9919474889668272]"
68,"[0.7461538461538462, 0.0008690393956102564, 0.9935032363681762]"
70,"[0.7923076923076923, 0.0008690393956102564, 0.9930765931784749]"
72,"[0.8384615384615385, 0.0008690393956102564, 0.992627657768763]"
53,"[0.4, 0.0008690393956102564, 0.9953910986337676]"
65,"[0.676923076923077, 0.0008690393956102564, 0.9940797727512443]"
69,"[0.7692307692307693, 0.0008690393956102564, 0.9932934532437856]"
74,"[0.8846153846153847, 0.0008690393956102564, 0.9921717363014295]"
71,"[0.8153846153846154, 0.0008690393956102564, 0.9928540824898419]"
79,"[1.0, 0.0008690393956102564, 0.9911526647220317]"
67,"[0.7230769230769231, 0.0008690393956102564, 0.9937047916798856]"
78,"[0.9769230769230769, 0.0008690393956102564, 0.9913285462817594]"
76,"[0.9307692307692308, 0.0008690393956102564, 0.9917298267822687]"
66,"[0.7000000000000001, 0.0008690393956102564, 0.9938972070700608]"
77,"[0.9538461538461539, 0.0008690393956102564, 0.991522253701449]"
85,"[0.2153846153846154, 0.0016888163836205128, 0.9910979672315102]"
81,"[0.12307692307692308, 0.0016888163836205128, 0.992132934213372]"
83,"[0.16923076923076924, 0.0016888163836205128, 0.9917640708393648]"
84,"[0.19230769230769232, 0.0016888163836205128, 0.9914693717364879]"
80,"[0.1, 0.0016888163836205128, 0.992208352683942]"
82,"[0.14615384615384616, 0.0016888163836205128, 0.9919848141713173]"
86,"[0.23846153846153847, 0.0016888163836205128, 0.9906456539457796]"
89,"[0.3076923076923077, 0.0016888163836205128, 0.9887380485890951]"
87,"[0.26153846153846155, 0.0016888163836205128, 0.9901067138606299]"
90,"[0.3307692307692308, 0.0016888163836205128, 0.9878886437952521]"
99,"[0.5384615384615384, 0.0016888163836205128, 0.9729513807088735]"
88,"[0.2846153846153846, 0.0016888163836205128, 0.9894738379586946]"
93,"[0.4, 0.0016888163836205128, 0.9845268711262632]"
91,"[0.3538461538461538, 0.0016888163836205128, 0.9869132013747866]"
100,"[0.5615384615384615, 0.0016888163836205128, 0.9704054769069622]"
95,"[0.4461538461538461, 0.0016888163836205128, 0.9814565101537518]"
92,"[0.3769230769230769, 0.0016888163836205128, 0.9857977028855713]"
98,"[0.5153846153846154, 0.0016888163836205128, 0.9753640021940791]"
96,"[0.46923076923076923, 0.0016888163836205128, 0.9796294086280869]"
94,"[0.42307692307692313, 0.0016888163836205128, 0.9830848616249961]"
101,"[0.5846153846153846, 0.0016888163836205128, 0.9678051355042355]"
97,"[0.49230769230769234, 0.0016888163836205128, 0.9775971403181365]"
106,"[0.7000000000000001, 0.0016888163836205128, 0.9589933643716841]"
105,"[0.676923076923077, 0.0016888163836205128, 0.9596515701664458]"
102,"[0.6076923076923076, 0.0016888163836205128, 0.9652671037176052]"
104,"[0.6538461538461539, 0.0016888163836205128, 0.9610144612421397]"
112,"[0.8384615384615385, 0.0016888163836205128, 0.9682570422017212]"
108,"[0.7461538461538462, 0.0016888163836205128, 0.9599703715595137]"
110,"[0.7923076923076923, 0.0016888163836205128, 0.9634817977599793]"
117,"[0.9538461538461539, 0.0016888163836205128, 0.9793423253212976]"
103,"[0.6307692307692307, 0.0016888163836205128, 0.9629445660304824]"
109,"[0.7692307692307693, 0.0016888163836205128, 0.9614812828273669]"
107,"[0.7230769230769231, 0.0016888163836205128, 0.9591067216012258]"
113,"[0.8615384615384616, 0.0016888163836205128, 0.9707333821838022]"
111,"[0.8153846153846154, 0.0016888163836205128, 0.9657952701817311]"
115,"[0.9076923076923077, 0.0016888163836205128, 0.9753794668732184]"
114,"[0.8846153846153847, 0.0016888163836205128, 0.9731279509584848]"
116,"[0.9307692307692308, 0.0016888163836205128, 0.9774550125830265]"
118,"[0.9769230769230769, 0.0016888163836205128, 0.9810429118301565]"
119,"[1.0, 0.0016888163836205128, 0.9825666745260522]"
120,"[0.1, 0.0025085933716307695, 0.9899668151633955]"
122,"[0.14615384615384616, 0.0025085933716307695, 0.9880784338462855]"
123,"[0.16923076923076924, 0.0025085933716307695, 0.9867543611355778]"
124,"[0.19230769230769232, 0.0025085933716307695, 0.9851183667341094]"
121,"[0.12307692307692308, 0.0025085933716307695, 0.9891378556486525]"
