M_lz,overlap,tc,phi_c
0.1,0.7324502705928694,-2.5049377754185636e-05,-0.003395145923458138
0.1473684210526316,0.7540504120368892,0.00012693252509994547,0.03802888704790558
0.19473684210526315,0.7746219381673547,9.973212831563047e-05,0.03215513456475244
0.24210526315789474,0.7892157460003588,1.526961834813235e-05,0.008913814436570203
0.2894736842105263,0.8007509733013317,-6.753972442709266e-05,-0.02186741615371878
0.33684210526315794,0.8125208365837684,-8.150509377866552e-05,-0.030658713040355112
0.38421052631578945,0.8249385587474191,-2.2472019081634816e-05,-0.009173608982267713
0.43157894736842106,0.8371275203294734,3.7942292953143125e-05,0.014568682925683474
0.4789473684210527,0.8486746018562658,4.996150816886402e-05,0.0185428640951748
0.5263157894736842,0.8596416595546864,3.198747214388227e-05,0.01032945093259334
0.5736842105263158,0.8699233902498632,2.2099831780045902e-05,0.006659152176051122
0.6210526315789474,0.8793356430766543,2.61829227493515e-05,0.009489044357097545
0.6684210526315789,0.8879530615348512,2.7375054672644685e-05,0.010479902988246595
0.7157894736842105,0.895988027832037,2.1029470126931455e-05,0.007461454569831906
0.7631578947368421,0.9035302965315088,1.5358223993296016e-05,0.004678691347807628
0.8105263157894737,0.9105407440744353,1.4157117602987134e-05,0.00446327610904421
0.8578947368421053,0.9170312600817148,9.617673389294976e-06,0.0035936331672029457
0.9052631578947369,0.9231323683095287,-3.3885729116709434e-06,-0.0006472166607624368
0.9526315789473684,0.9289290100429415,-1.2264572603670071e-05,-0.004070392922071619
1.0,0.9342688018291406,-1.6842650623666943e-06,-0.0008495792715571842
