source_x,overlap,tc,phi_c
2e-05,0.7658572116227232,-5.842354569507469e-05,-0.015043676912006147
3.111111111111111e-05,0.7829432254855293,0.00012963315889741984,0.04755370073970196
4.222222222222222e-05,0.8063152837692099,-9.286969247052445e-05,-0.03473747077771841
5.333333333333333e-05,0.8285265664038837,3.4171775525812726e-05,0.011426594352915913
6.444444444444444e-05,0.8540886881325992,1.795843792438794e-05,0.00780657408765995
7.555555555555556e-05,0.8765584532776237,-3.4625154533403667e-05,-0.012606558913137842
8.666666666666667e-05,0.8991938994762471,1.428510560905844e-05,0.00436935587056311
9.777777777777778e-05,0.9219057062887072,1.2090277587469527e-05,0.0048821207370442115
0.00010888888888888889,0.9434897665358949,-1.5099733279186355e-05,-0.005313840774572613
0.00012,0.9646400273824404,-1.5106173532152568e-07,-0.0003838484793493928
