source_x,overlap,tc,phi_c
2.8284271247461907e-06,0.0,-0.05484802092070984,1.8111255249141305
6.1282587702834126e-06,0.0,-0.020164064028634104,-2.726778040502408
9.428090415820635e-06,0.5320318236599354,0.0650104307583634,-0.010206548917726597
1.2727922061357855e-05,0.5435382477414549,0.08782780888877831,0.15122464497673585
1.6027753706895074e-05,0.5623685797481882,0.10913964848862807,-0.1169701942716509
1.93275853524323e-05,0.7465770204117226,-5.106146249939232e-05,-0.016510213239490916
2.262741699796952e-05,0.7480582475297934,6.776230671890533e-05,0.022669459089598436
2.5927248643506745e-05,0.7509961541381803,-2.985411133028126e-05,-0.009730839520197395
2.9227080289043964e-05,0.7485288460508984,-4.428441736992521e-05,-0.015657196408947693
3.252691193458119e-05,0.7504218926195293,4.656698528417681e-05,0.015832292489646026
