y_sis_invert,ML_sis_invert
0.09962678803234228,4.946754470974292e-05
0.11468374865584689,4.953484880450392e-05
0.12968164068805263,4.9611659841188975e-05
0.14461304257855503,4.969796511353487e-05
0.15947067632022854,4.979375039180429e-05
0.17424742191147877,4.989899994134406e-05
0.18893633109598776,5.0013696543015476e-05
0.2035306403266102,5.013782151544285e-05
0.21802378290601487,5.027135473902272e-05
0.23240940026284582,5.0414274681630735e-05
0.24668135232854413,5.056655842596077e-05
0.26083372698645146,5.072818169842594e-05
0.2748608485713328,5.08991188995494e-05
0.28875728540395995,5.1079343135768074e-05
0.30251785635180495,5.1268826252570924e-05
0.31613763641316,5.146753886889139e-05
0.3296119613280613,5.16754504126697e-05
0.3429364312251979,5.189252915750156e-05
0.3561069133194991,5.211874226028595e-05
0.36911954368025224,5.235405579978597e-05
0.3819707280944017,5.2598434816013395e-05
0.3946571420540607,5.2851843350350064e-05
0.40717572990123874,5.311424448631644e-05
0.4195237031663077,5.338560039089948e-05
0.4316985381398066,5.36658723563523e-05
0.4436979727198071,5.3955020842378124e-05
0.4555200025792317,5.425300551861292e-05
0.4671628766992421,5.455978530732176e-05
0.4786250923161055,5.487531842622629e-05
0.4899053893298208,5.5199562431381346e-05
0.5010027442232575,5.553247426002198e-05
0.5119163635406535,5.5874010273303496e-05
0.5226456769740602,5.622412629886017e-05
0.5331903301057367,5.658277767310992e-05
0.5435501768536037,5.6949919283236325e-05
0.5537252716657196,5.7325505608780684e-05
0.563715861508333,5.770949076278125e-05
0.573522377690469,5.810182853239855e-05
0.5831454275662036,5.8502472418969886e-05
0.5925857861538493,5.891137567743884e-05
0.6018443877091996,5.93284913551088e-05
0.6109223172878183,5.975377232967316e-05
0.6198208023291202,6.018717134647816e-05
0.6285412042927067,6.062864105497749e-05
0.6370850103751072,6.107813404434102e-05
0.6454538253327606,6.153560287818388e-05
0.6536493634347695,6.200100012838503e-05
0.6616734405666883,6.247427840796752e-05
0.6695279665043776,6.295539040301639e-05
0.6772149373747957,6.344428890361274e-05
0.6847364283184901,6.39409268337663e-05
0.6920945863665487,6.444525728033062e-05
0.6992916235428268,6.495723352088942e-05
0.7063298102004413,6.547680905060418e-05
0.7132114685997814,6.600393760801625e-05
0.7199389667336512,6.653857319979972e-05
0.7265147124036355,6.708067012446295e-05
0.7329411475503529,6.763018299499985e-05
0.7392207428389429,6.818706676049385e-05
0.7453559924999298,6.875127672667965e-05
0.09962678803234228,0.000593610536516915
0.11468374865584689,0.0005944181856540471
0.12968164068805263,0.0005953399180942678
0.14461304257855503,0.0005963755813624184
