6,"[0.6785206258890469, 7.54800279159322e-05, 0.9999898223748168]"
7,"[0.6573033707865168, 8.149171155525424e-05, 0.99998838801341]"
5,"[0.7002881844380404, 6.946834427661016e-05, 0.9999911952566966]"
2,"[0.7691154422788605, 5.143329335864406e-05, 0.999994867759376]"
1,"[0.7933130699088147, 4.5421609719322026e-05, 0.9999959169840315]"
3,"[0.7455621301775148, 5.74449769979661e-05, 0.9999937257698134]"
4,"[0.7226277372262774, 6.345666063728813e-05, 0.9999924989794866]"
10,"[0.5967523680649526, 9.952676247322033e-05, 0.9999837914695449]"
8,"[0.636615811373093, 8.750339519457626e-05, 0.9999868997595475]"
9,"[0.6164383561643835, 9.35150788338983e-05, 0.9999853651093216]"
0,"[0.8181818181818181, 3.940992608e-05, 0.9999968653831034]"
11,"[0.5775401069518716, 0.00010553844611254235, 0.999982186159626]"
12,"[0.5587846763540292, 0.00011155012975186438, 0.9999805564136295]"
13,"[0.5404699738903395, 0.00011756181339118643, 0.9999789093825036]"
14,"[0.5225806451612902, 0.00012357349703050847, 0.9999772521364809]"
15,"[0.5051020408163265, 0.0001295851806698305, 0.9999755916676485]"
16,"[0.4880201765447667, 0.00013559686430915252, 0.9999739348926898]"
17,"[0.47132169576059846, 0.00014160854794847456, 0.9999722886557924]"
18,"[0.4549938347718866, 0.00014762023158779657, 0.9999706597317353]"
19,"[0.4390243902439024, 0.00015363191522711864, 0.9999690548291463]"
20,"[0.42340168878166456, 0.00015964359886644068, 0.9999674805939464]"
21,"[0.4081145584725537, 0.0001656552825057627, 0.9999659436129823]"
22,"[0.39315230224321135, 0.00017166696614508473, 0.9999644504178524]"
23,"[0.37850467289719625, 0.00017767864978440674, 0.9999630074889455]"
24,"[0.36416184971098264, 0.00018369033342372878, 0.9999616212597007]"
25,"[0.3501144164759725, 0.00018970201706305085, 0.9999602981210997]"
26,"[0.33635334088335217, 0.00019571370070237286, 0.9999590444264217]"
27,"[0.3228699551569506, 0.0002017253843416949, 0.9999578664962712]"
28,"[0.3096559378468368, 0.00020773706798101691, 0.9999567706239099]"
29,"[0.2967032967032967, 0.00021374875162033895, 0.9999557630809282]"
30,"[0.2840043525571273, 0.00021976043525966097, 0.9999548501232834]"
31,"[0.271551724137931, 0.00022577211889898306, 0.9999540379977556]"
32,"[0.25933831376734257, 0.00023178380253830507, 0.9999533329488678]"
33,"[0.24735729386892175, 0.0002377954861776271, 0.9999527412263358]"
34,"[0.23560209424083767, 0.00024380716981694912, 0.9999522690931142]"
35,"[0.22406639004149378, 0.00024981885345627116, 0.9999519228341315]"
36,"[0.2127440904419322, 0.0002558305370955932, 0.9999517087658139]"
37,"[0.20162932790224036, 0.0002618422207349152, 0.9999516332465321]"
38,"[0.19071644803229057, 0.00026785390437423725, 0.9999517026881175]"
39,"[0.18, 0.0002738655880135593, 0.9999519235686507]"
40,"[0.16947472745292366, 0.00027987727165288133, 0.9999523024467478]"
41,"[0.15913555992141454, 0.00028588895529220334, 0.9999528459776603]"
42,"[0.14897760467380722, 0.00029190063893152536, 0.9999535609315576]"
43,"[0.13899613899613902, 0.0002979123225708474, 0.9999544542144886]"
44,"[0.12918660287081335, 0.0003039240062101695, 0.9999555328926697]"
45,"[0.11954459203036051, 0.0003099356898494915, 0.9999568042209434]"
46,"[0.11006585136406397, 0.0003159473734888135, 0.9999582756765721]"
47,"[0.10074626865671642, 0.0003219590571281355, 0.9999599549999557]"
48,"[0.09158186864014801, 0.0003279707407674576, 0.9999618502445318]"
49,"[0.08256880733944956, 0.0003339824244067796, 0.999963969839134]"
50,"[0.07370336669699724, 0.00033999410804610167, 0.9999663226677319]"
51,"[0.06498194945848373, 0.0003460057916854237, 0.999968918174217]"
52,"[0.05640107430617725, 0.0003520174753247457, 0.9999717665047427]"
53,"[0.04795737122557727, 0.00035802915896406776, 0.999974878709188]"
54,"[0.03964757709251102, 0.0003640408426033898, 0.9999782670416192]"
55,"[0.031468531468531485, 0.0003700525262427118, 0.9999819454405501]"
56,"[0.02341717259323501, 0.00037606420988203385, 0.9999859303742404]"
57,"[0.0154905335628227, 0.0003820758935213559, 0.9999902425609266]"
58,"[0.007685738684884704, 0.00038808757716067793, 0.9999949114752194]"
59,"[0.0, 0.00039409926079999995, 1.0]"
60,"[0.8181818181818181, 0.00047291911296, 0.999618483343405]"
61,"[0.7933130699088147, 0.0005450593166318644, 0.9995139898832325]"
62,"[0.7691154422788605, 0.0006171995203037287, 0.9994020243287607]"
63,"[0.7455621301775148, 0.0006893397239755932, 0.9992838212554962]"
64,"[0.7226277372262774, 0.0007614799276474577, 0.9991604759057008]"
65,"[0.7002881844380404, 0.0008336201313193219, 0.9990329611659896]"
66,"[0.6785206258890469, 0.0009057603349911864, 0.9989021425910438]"
67,"[0.6573033707865168, 0.0009779005386630509, 0.9987687917098139]"
68,"[0.636615811373093, 0.0010500407423349152, 0.9986335978238556]"
69,"[0.6164383561643835, 0.0011221809460067796, 0.9984971784834121]"
70,"[0.5967523680649526, 0.0011943211496786442, 0.9983600888054066]"
71,"[0.5775401069518716, 0.0012664613533505083, 0.9982228297784109]"
72,"[0.5587846763540292, 0.0013386015570223727, 0.9980858556828031]"
73,"[0.5404699738903395, 0.0014107417606942373, 0.9979495807394367]"
74,"[0.5225806451612902, 0.0014828819643661019, 0.9978143850870993]"
75,"[0.5051020408163265, 0.0015550221680379662, 0.9976806201775827]"
76,"[0.4880201765447667, 0.0016271623717098306, 0.9975486136672332]"
77,"[0.47132169576059846, 0.0016993025753816947, 0.9974186738751459]"
78,"[0.4549938347718866, 0.001771442779053559, 0.997291093870668]"
79,"[0.4390243902439024, 0.001843582982725424, 0.9971661552463694]"
80,"[0.42340168878166456, 0.0019157231863972883, 0.9970441316270915]"
81,"[0.4081145584725537, 0.0019878633900691526, 0.9969252919609249]"
82,"[0.39315230224321135, 0.0020600035937410168, 0.9968099036339811]"
83,"[0.37850467289719625, 0.0021321437974128814, 0.9966982354474919]"
84,"[0.36416184971098264, 0.0022042840010847455, 0.9965905604930426]"
85,"[0.3501144164759725, 0.0022764242047566105, 0.9964871589596171]"
86,"[0.33635334088335217, 0.0023485644084284747, 0.996388320904488]"
87,"[0.3228699551569506, 0.0024207046121003392, 0.9962943490188907]"
88,"[0.3096559378468368, 0.0024928448157722034, 0.9962055614187929]"
89,"[0.2967032967032967, 0.0025649850194440675, 0.9961222944909544]"
90,"[0.2840043525571273, 0.002637125223115932, 0.9960449058248652]"
91,"[0.271551724137931, 0.0027092654267877967, 0.9959737772620955]"
92,"[0.25933831376734257, 0.0027814056304596613, 0.9959093180961426]"
93,"[0.24735729386892175, 0.0028535458341315254, 0.9958519684581079]"
94,"[0.23560209424083767, 0.0029256860378033896, 0.9958022029266105]"
95,"[0.22406639004149378, 0.002997826241475254, 0.9957605344043943]"
96,"[0.2127440904419322, 0.0030699664451471183, 0.9957275183094212]"
97,"[0.20162932790224036, 0.003142106648818983, 0.9957037571351195]"
98,"[0.19071644803229057, 0.0032142468524908475, 0.9956899054434823]"
99,"[0.18, 0.003286387056162712, 0.9956866753664746]"
100,"[0.16947472745292366, 0.003358527259834576, 0.9956948427068303]"
101,"[0.15913555992141454, 0.0034306674635064404, 0.9957152537502068]"
102,"[0.14897760467380722, 0.003502807667178305, 0.9957488329290901]"
103,"[0.13899613899613902, 0.003574947870850169, 0.9957965915181074]"
104,"[0.12918660287081335, 0.003647088074522034, 0.9958596375956967]"
105,"[0.11954459203036051, 0.0037192282781938982, 0.995939187586497]"
106,"[0.11006585136406397, 0.003791368481865763, 0.9960365798155376]"
107,"[0.10074626865671642, 0.003863508685537627, 0.9961532906810219]"
108,"[0.09158186864014801, 0.0039356488892094916, 0.9962909543246271]"
109,"[0.08256880733944956, 0.004007789092881356, 0.9964513871129719]"
110,"[0.07370336669699724, 0.004079929296553221, 0.9966366189639294]"
111,"[0.06498194945848373, 0.004152069500225085, 0.9968489347952993]"
112,"[0.05640107430617725, 0.004224209703896949, 0.9970909316325788]"
113,"[0.04795737122557727, 0.004296349907568813, 0.9973656012747183]"
114,"[0.03964757709251102, 0.004368490111240677, 0.997676457508581]"
115,"[0.031468531468531485, 0.004440630314912542, 0.9980277477853616]"
116,"[0.02341717259323501, 0.0045127705185844065, 0.9984248443526489]"
117,"[0.0154905335628227, 0.0045849107222562715, 0.998875086374098]"
118,"[0.007685738684884704, 0.004657050925928136, 0.9993901324492094]"
119,"[0.0, 0.0047291911296, 1.0]"
120,"[0.8181818181818181, 0.00090642829984, 0.9987807865085291]"
121,"[0.7933130699088147, 0.0010446970235444067, 0.9984680491256553]"
122,"[0.7691154422788605, 0.0011829657472488134, 0.9981376156272543]"
123,"[0.7455621301775148, 0.0013212344709532203, 0.99779242605946]"
124,"[0.7226277372262774, 0.0014595031946576273, 0.997434758617231]"
125,"[0.7002881844380404, 0.0015977719183620338, 0.9970663562969486]"
126,"[0.6785206258890469, 0.0017360406420664407, 0.9966885281507863]"
127,"[0.6573033707865168, 0.0018743093657708476, 0.9963022306199518]"
128,"[0.636615811373093, 0.002012578089475254, 0.9959081332101493]"
129,"[0.6164383561643835, 0.002150846813179661, 0.9955066718484414]"
130,"[0.5967523680649526, 0.002289115536884068, 0.9950980925552444]"
131,"[0.5775401069518716, 0.0024273842605884743, 0.994682487525913]"
132,"[0.5587846763540292, 0.002565652984292881, 0.9942598253041397]"
133,"[0.5404699738903395, 0.002703921707997288, 0.9938299764149173]"
134,"[0.5225806451612902, 0.0028421904317016953, 0.993392735586348]"
135,"[0.5051020408163265, 0.002980459155406102, 0.9929478415106581]"
136,"[0.4880201765447667, 0.0031187278791105083, 0.9924949949631718]"
137,"[0.47132169576059846, 0.003256996602814915, 0.9920338760044738]"
138,"[0.4549938347718866, 0.0033952653265193217, 0.991564160928592]"
139,"[0.4390243902439024, 0.0035335340502237293, 0.991085539583495]"
140,"[0.42340168878166456, 0.003671802773928136, 0.990597733675442]"
141,"[0.4081145584725537, 0.0038100714976325428, 0.9901005166724414]"
142,"[0.39315230224321135, 0.0039483402213369495, 0.9895937359413746]"
143,"[0.37850467289719625, 0.004086608945041356, 0.989077337785369]"
144,"[0.36416184971098264, 0.004224877668745762, 0.9885513960895159]"
145,"[0.3501144164759725, 0.00436314639245017, 0.9880161453299139]"
146,"[0.33635334088335217, 0.004501415116154576, 0.9874720187477517]"
147,"[0.3228699551569506, 0.004639683839858983, 0.9869196925290065]"
148,"[0.3096559378468368, 0.00477795256356339, 0.9863601368505258]"
149,"[0.2967032967032967, 0.0049162212872677965, 0.9857946746399465]"
150,"[0.2840043525571273, 0.005054490010972203, 0.9852250488296248]"
151,"[0.271551724137931, 0.005192758734676611, 0.9846534987364579]"
152,"[0.25933831376734257, 0.0053310274583810175, 0.9840828459346744]"
153,"[0.24735729386892175, 0.005469296182085424, 0.9835165895625533]"
154,"[0.23560209424083767, 0.00560756490578983, 0.9829590103618306]"
155,"[0.22406639004149378, 0.005745833629494237, 0.9824152818266632]"
156,"[0.2127440904419322, 0.0058841023531986435, 0.9818915855682825]"
157,"[0.20162932790224036, 0.00602237107690305, 0.9813952263149807]"
158,"[0.19071644803229057, 0.006160639800607458, 0.9809347398135453]"
159,"[0.18, 0.0062989085243118645, 0.9805199842636723]"
160,"[0.16947472745292366, 0.006437177248016271, 0.9801622028561751]"
161,"[0.15913555992141454, 0.006575445971720678, 0.9798740416643126]"
162,"[0.14897760467380722, 0.006713714695425085, 0.979669503880361]"
163,"[0.13899613899613902, 0.006851983419129491, 0.9795638187293784]"
164,"[0.12918660287081335, 0.006990252142833899, 0.9795732020993828]"
165,"[0.11954459203036051, 0.007128520866538305, 0.9797144869950098]"
166,"[0.11006585136406397, 0.0072667895902427115, 0.9800046064699262]"
167,"[0.10074626865671642, 0.007405058313947118, 0.9804599207530649]"
168,"[0.09158186864014801, 0.007543327037651525, 0.9810953944406865]"
169,"[0.08256880733944956, 0.007681595761355932, 0.981923648536416]"
170,"[0.07370336669699724, 0.007819864485060338, 0.9829539339793538]"
171,"[0.06498194945848373, 0.007958133208764746, 0.9841910944014491]"
172,"[0.05640107430617725, 0.008096401932469152, 0.9856346003966492]"
173,"[0.04795737122557727, 0.00823467065617356, 0.9872777376565034]"
174,"[0.03964757709251102, 0.008372939379877965, 0.9891070063461262]"
175,"[0.031468531468531485, 0.008511208103582373, 0.9911017216438662]"
176,"[0.02341717259323501, 0.00864947682728678, 0.9932336513732848]"
177,"[0.0154905335628227, 0.008787745550991186, 0.9954661185021875]"
178,"[0.007685738684884704, 0.008926014274695594, 0.9977503925360002]"
179,"[0.0, 0.0090642829984, 1.0]"
180,"[0.8181818181818181, 0.00133993748672, 0.997623042090971]"
181,"[0.7933130699088147, 0.0015443347304569491, 0.9970333060505376]"
182,"[0.7691154422788605, 0.0017487319741938982, 0.996409121018512]"
183,"[0.7455621301775148, 0.0019531292179308475, 0.9957526487793502]"
184,"[0.7226277372262774, 0.0021575264616677968, 0.9950645297091479]"
185,"[0.7002881844380404, 0.0023619237054047456, 0.99434418245319]"
186,"[0.6785206258890469, 0.002566320949141695, 0.9935900141571726]"
187,"[0.6573033707865168, 0.002770718192878644, 0.9927995650545212]"
188,"[0.636615811373093, 0.002975115436615593, 0.9919696043052381]"
189,"[0.6164383561643835, 0.0031795126803525423, 0.9910961892674547]"
190,"[0.5967523680649526, 0.0033839099240894916, 0.9901746971903942]"
191,"[0.5775401069518716, 0.0035883071678264405, 0.9891998362162823]"
192,"[0.5587846763540292, 0.0037927044115633893, 0.9881656412999309]"
193,"[0.5404699738903395, 0.0039971016553003395, 0.9870654600420705]"
194,"[0.5225806451612902, 0.004201498899037289, 0.9858919334133691]"
195,"[0.5051020408163265, 0.004405896142774238, 0.9846369769141888]"
196,"[0.4880201765447667, 0.0046102933865111865, 0.9832917689216825]"
197,"[0.47132169576059846, 0.004814690630248136, 0.9818467549240701]"
198,"[0.4549938347718866, 0.005019087873985084, 0.9802916791829659]"
199,"[0.4390243902439024, 0.005223485117722034, 0.9786156592879678]"
200,"[0.42340168878166456, 0.005427882361458984, 0.9768073242807046]"
201,"[0.4081145584725537, 0.005632279605195933, 0.9748550437077422]"
202,"[0.39315230224321135, 0.005836676848932881, 0.9727472831771043]"
203,"[0.37850467289719625, 0.006041074092669831, 0.9704731315303025]"
204,"[0.36416184971098264, 0.006245471336406779, 0.9680230548457637]"
206,"[0.33635334088335217, 0.0066542658238806784, 0.9625705065597868]"
205,"[0.3501144164759725, 0.00644986858014373, 0.965389941441533]"
207,"[0.3228699551569506, 0.006858663067617628, 0.959567119883971]"
208,"[0.3096559378468368, 0.007063060311354576, 0.9563900947891937]"
209,"[0.2967032967032967, 0.007267457555091525, 0.9530604232725536]"
210,"[0.2840043525571273, 0.007471854798828474, 0.9496128407477257]"
211,"[0.271551724137931, 0.007676252042565425, 0.9460989482842113]"
212,"[0.25933831376734257, 0.007880649286302374, 0.9425899055010869]"
